Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"eventually[1,inf](IP10(t) > c(low) and IP10(t) > c(mid)) and globally[1,inf](IP10(t) < c(high)) and eventually[1,inf]globally(IP10(t) > c(mid)) and IP10(t) > c(mid)",0.5299285,N/A,N/A,N/A,N/A,0,2,0
"eventually[1,1]globally(IP10(t) > c(high)) and eventually[1,1]globally(IP10(t) < c(low))",0.5144396,N/A,N/A,IP10(t) > c(low) implies IL6(t) = c(low) and IL12(t) = c(low) and IL1β(t) = c(low) and IL1Ra(t) = c(low) and TNFα(t) = c(low) and IL8(t) = c(low) and IFNα(t) = c(low) and IFNβ(t) = c(low) and SARSCoV2(t) = c(low) and IL1RN(t) = c(low),0.5254438,1,1,0
"globally[1,inf](IP10(t) > c(high) implies IP10(t) = c(high)) and IP10(t) = c(high)",0.5303358,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[1,1](IP10(t) > c(low))",0.52834153,N/A,N/A,"globally[1,1](IP10(t) > c(high))",0.54324806,1,1,0
"eventually[1,inf]globally(IP10(t) > c(high)) implies globally[1,inf](IP10(t) > c(high)) and eventually[1,inf](IP10(t) > c(high)) and eventually[1,inf](IP10(t) > c(high))",0.44438696,N/A,N/A,N/A,N/A,0,2,0
IP10(t) > c(high),0.52200496,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[1,7](IP10(t) > c(low) implies IP10(t) = c(mid)) and IP10(t) = c(high) and IP10(t) = c(mid) and IP10(t) = c(high)",0.5350903,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"IP10(t) > c(high) and IP10(t) > c(high) and eventually[1,7]globally(IP10(t) < c(low) implies IP10(t) > c(high))",0.52469325,"eventually[1,7](IP10(t) > c(high)) and IP10(t)=c(low) and IP10(t)=c(mid)",0.5641169,N/A,N/A,1,1,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[1,7]globally(IP10(t) > c(high))",0.53559965,N/A,N/A,N/A,N/A,0,2,0
"eventually[1,7]globally(IP10(t) > c(high)) and eventually[1,7]globally(IP10(t) > c(high)) and eventually[1,7]globally(IP10(t) > c(high)) and eventually[1,7]globally(IP10(t) > c(high))",0.50954926,N/A,N/A,N/A,N/A,0,2,0
