Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[2,4]globally(d_IP10(t) < c(mid)) and eventually[4,inf]globally(d_IP10(t) = c(mid))",0.64982235,N/A,N/A,N/A,N/A,0,2,0
"globally[2,4](IP10(t) < c(low))",0.67078876,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[2,4](d_IP10(t) < d_c(low)) and globally[2,4](IP10(t)=c(mid))",0.584349,N/A,N/A,"eventually[2,4]globally(d_IP10(t) < 0)",0.57620174,0,2,0
"eventually[2,4](d_IP10(t) < 0) and globally[2,4](IP10(t) = c(mid))",0.6125771,N/A,N/A,N/A,N/A,0,2,0
"eventually[2,4](d_IP10(t) < d_c(low)) and globally[2,4](d_IP10(t) = c(mid))",0.584349,N/A,N/A,"globally[2,4](IP10(t) < c(mid)) and d_IP10(t) < 0",0.63949984,1,1,0
IP10(t) < c(mid),0.6195665,N/A,N/A,N/A,N/A,0,2,0
"globally[2,4](IP10(t) < c(mid)) and IP10(t) = c(low)",0.68938136,N/A,N/A,N/A,N/A,0,2,0
"eventually[2,4]globally(d_IP10(t) < c(mid)) and eventually[4,inf]globally(d_IP10(t) = c(mid))",0.64982235,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[2,4]globally(d_IP10(t) < d_c(high))",0.52044487,N/A,N/A,N/A,N/A,0,2,0
"eventually[2,4]globally(IP10(t)=c(mid))",0.6645968,N/A,N/A,N/A,N/A,0,2,0
"eventually[2,4]globally(IP10(t) = c(mid))",0.6645968,"eventually[2,4]globally(IP10(t) < c(mid)) and globally[4,inf](IP10(t) = c(mid))",0.64482164,N/A,N/A,0,2,0
d_IP10(t) < 0 and d_IP10(t) = 0,0.4817754,IP10(t) < c(mid) and IP10(t) = c(mid),0.58992505,N/A,N/A,1,1,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[2,4]globally(d_IP10(t) = 0) and globally[4,inf](IP10(t) < c(high))",0.5910871,"eventually[2,4](d_IP10(t) < 0) and eventually[4,inf](IP10(t) > c(mid))",0.61678165,N/A,N/A,1,1,0
