Semantic attempt 0,Semantic attempt 0 sim,Number of improvements (relative to start)
N/A,N/A,0
"eventually[0,1](IL1β(t) > c(high) and IL1Ra(t) > c(high)) and eventually[0,1](IFNα(t) > c(high) and IFNβ(t) > c(high)) and IL6(t) < c(low)",0.4356554,0
"eventually[0,∞]globally(IFNα(t)=c(high) and IFNβ(t)=c(high))",0.5456153,0
"eventually[0,∞]globally(IL1β(t) > c(high) and d_IL1Ra(t) > d_c(high))",0.36511162,0
"eventually[0,12]globally(IL1β(t)=c(high) and IL1Ra(t)=c(high)) and d_IL1β(t) > 0 and d_IL1Ra(t) > 0",0.28925535,0
"eventually[0,∞]globally(d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and IL1β(t) = c(low) and SARSCoV2(t) > c(high)",0.5616534,0
"eventually[0,2](IFNα(t) > c(high)) and SARSCoV2(t) < c(mid)",0.4953525,0
N/A,N/A,0
N/A,N/A,0
N/A,N/A,0
"eventually[0,1]globally(d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high)) and IL6(t)=c(high) and IL12(t)=c(high) and IL1β(t)=c(high) and IL1Ra(t)=c(high) and TNFα(t)=c(high) and IL8(t)=c(high) and SARSCoV2(t)=c(high) and IL1RN(t)=c(high)",0.46919733,0
"eventually[0,∞]globally(IFNα(t) > c(mid) and IFNβ(t) > c(mid))",0.52847016,0
IFNα(t) > c(high) and IFNβ(t) > c(high) and d_IFNα(t) > 0 and d_IFNβ(t) > 0,0.4154352,0
N/A,N/A,0
d_IL1Ra(t) > d_c(high),0.24866964,0
"eventually[0,1](IL6(t) > c(low)) and eventually[0,1](IL12(t) > c(low)) and eventually[0,1](IL1β(t) > c(low)) and eventually[0,1](IL1Ra(t) > c(low)) and eventually[0,1](TNFα(t) > c(low)) and eventually[0,1](IL8(t) > c(low))",0.33771864,0
N/A,N/A,0
"eventually[0,∞]globally(d_IFNα(t) > d_c(high)) and d_IFNβ(t) > d_c(high) and IFNα(t) = c(mid) and IFNβ(t) = c(mid)",0.51229274,0
