Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
IFNβ(t) = c(low) implies IL6(t) < c(high),1.0,N/A,N/A,N/A,N/A,0,2,0
IFNβ(t) = c(low) implies IL6(t) < c(high),1.0,IFNβ(t) = c(low) implies IL6(t) < c(high),1.0,N/A,N/A,0,1,1
IFNβ(t)=c(low) implies IL6(t)<c(high),1.0,N/A,N/A,IFNβ(t) = c(low) implies IL6(t) < c(high),1.0,0,1,1
IFNβ(t) = c(low) implies IL6(t) < c(high),1.0,IFNβ(t) = c(low) implies IL6(t) < c(high),1.0,N/A,N/A,0,1,1
IFNβ(t) = c(low) implies IL6(t) < c(high),1.0,IFNβ(t) = c(low) implies IL6(t) < c(high),1.0,IFNβ(t) < c(low) implies IL6(t) < c(high),0.9944884,0,1,1
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[inf,inf](IFNβ(t) = c(low) implies IL6(t) < c(high))",0.9052523,IFNβ(t) = c(low) implies IL6(t) < c(high),1.0,N/A,N/A,1,1,0
"globally[inf,inf](IFNβ(t) = c(low) implies IL6(t) < c(high))",0.9052523,IFNβ(t) = c(low) implies IL6(t) < c(high),1.0,IFNβ(t)=c(low) implies IL6(t) < c(high),1.0,2,0,0
"eventually[inf,inf]globally(IFNβ(t)=c(low) implies IL6(t)<c(high))",0.8949685,IFNβ(t) = c(low) implies IL6(t) < c(high),1.0,IFNβ(t) = c(low) implies IL6(t) < c(high),1.0,2,0,0
IFNβ(t)=c(low) implies IL6(t) < c(high),1.0,N/A,N/A,IFNβ(t) = c(low) implies IL6(t) < c(high),1.0,0,1,1
IFNβ(t) = c(low) implies IL6(t) < c(high),1.0,N/A,N/A,"eventually[0,inf](IFNβ(t) = c(low) implies IL6(t) < c(high))",0.9228538,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
IFNβ(t) = c(low) implies IL6(t) < c(high),1.0,N/A,N/A,IFNβ(t) = c(low) implies IL6(t) < c(high),1.0,0,1,1
IFNβ(t) = c(low) implies IL6(t) < c(high),1.0,N/A,N/A,IFNβ(t)=c(low) implies IL6(t) < c(high),1.0,0,1,1
d_IFNβ(t)=d_c(low) implies IL6(t) < c(high),0.9101128,N/A,N/A,N/A,N/A,0,2,0
IFNβ(t) = c(low) implies IL6(t) < c(high),1.0,N/A,N/A,IFNβ(t)=c(low) implies IL6(t) < c(high),1.0,0,1,1
IFNβ(t) = c(low) implies IL6(t) < c(high),1.0,IFNβ(t) = c(low) implies IL6(t) < c(high),1.0,N/A,N/A,0,1,1
d_IFNβ(t) = d_c(low) implies IL6(t) < c(high),0.9101128,IFNβ(t) = c(low) implies IL6(t) < c(high),1.0,IFNβ(t) = c(low) implies IL6(t) < c(high),1.0,2,0,0
