Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"eventually[1,7](IL1β(t) < c(high)) and eventually[8,14](IL1β(t) > c(high)) and IL1Ra(t) < c(high) and eventually[15,∞](IL1Ra(t) < c(high)) and d_IL1β(t) > 0 and d_IL1Ra(t) > 0",0.7494968,"eventually[1,7](IL1β(t) < c(high)) and eventually[8,14](IL1β(t) > c(high)) and IL1Ra(t) < c(high) and eventually[15,∞](IL1Ra(t) < c(high)) and d_IL1β(t) > 0 and d_IL1Ra(t) > 0",0.7494968,"eventually[1,7](IL1β(t) < c(high)) and eventually[8,14](IL1β(t) > c(high)) and IL1Ra(t) < c(high) and eventually[15,∞](IL1Ra(t) < c(high)) and d_IL1β(t) > 0 and d_IL1Ra(t) > 0",0.7494968,0,0,2
"eventually[1,7](IL1β(t) < c(mid) and IL1Ra(t) < c(mid)) and eventually[8,14](IL1β(t) > c(high) and IL1Ra(t) > c(high)) and eventually[15,∞](IL1β(t) < c(low) and IL1Ra(t) < c(low))",0.7445194,"eventually[1,7](IL1β(t) < c(mid) and IL1Ra(t) < c(mid)) and eventually[8,14](IL1β(t) > c(high) and IL1Ra(t) > c(high)) and eventually[15,∞](IL1β(t) < c(low) and IL1Ra(t) < c(low))",0.7445194,"eventually[1,7](IL1β(t) < c(mid) and IL1Ra(t) < c(mid)) and eventually[8,14](IL1β(t) > c(high) and IL1Ra(t) > c(high)) and eventually[15,∞](IL1β(t) < c(low) and IL1Ra(t) < c(low))",0.7445194,0,0,2
"eventually[1,7]globally(IL1β(t) < c(mid)) and eventually[8,14]globally(IL1β(t) = c(mid)) and eventually[15,∞]globally(IL1β(t) > c(mid)) and eventually[1,7]globally(IL1Ra(t) < c(mid)) and eventually[8,14]globally(IL1Ra(t) = c(mid)) and eventually[15,∞]globally(IL1Ra(t) > c(mid))",0.73110855,"eventually[1,7](IL1β(t) < c(high)) and eventually[8,14](IL1β(t) = c(high)) and eventually[15,∞](IL1Ra(t) < c(low))",0.7335098,"eventually[1,7](IL1β(t) < c(high)) and eventually[8,14](IL1β(t) = c(high)) and eventually[15,∞](IL1Ra(t) < c(low))",0.7335098,2,0,0
"eventually[1,7]globally(IL1β(t) > c(mid)) and eventually[8,14]globally(IL1β(t) > c(mid)) and eventually[15,∞]globally(IL1β(t) < c(mid))",0.75556284,"eventually[1,7]globally(d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and eventually[8,14]globally(IL1β(t) > c(mid) and IL1Ra(t) > c(mid)) and d_IL1β(t) < 0 and d_IL1Ra(t) < 0",0.7594341,"eventually[1,7]globally(d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and eventually[8,14]globally(IL1β(t) > c(mid) and IL1Ra(t) > c(mid)) and d_IL1β(t) < 0 and d_IL1Ra(t) < 0",0.7594341,2,0,0
"globally[1,7](IL1β(t) > c(mid)) and globally[8,14](IL1β(t) > c(high)) and eventually[15,∞](IL1β(t) < c(low))",0.744113,"eventually[1,7](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and eventually[8,14](IL1β(t) < c(high) and IL1Ra(t) < c(high)) and globally[15,∞](IL1β(t) < c(low) and IL1Ra(t) < c(low))",0.7516394,"eventually[1,7](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and eventually[8,14](IL1β(t) < c(high) and IL1Ra(t) < c(high)) and globally[15,∞](IL1β(t) < c(low) and IL1Ra(t) < c(low))",0.7516394,2,0,0
"eventually[1,7]globally(IL1β(t) < c(mid)) and eventually[8,14]globally(IL1Ra(t) > c(mid)) and eventually[15,∞]globally(IL1β(t) < c(low)) and eventually[15,∞]globally(IL1Ra(t) < c(low))",0.73276013,"eventually[1,7]globally(IL1β(t) < c(mid)) and eventually[8,14]globally(IL1Ra(t) > c(mid)) and eventually[15,∞]globally(IL1β(t) < c(low)) and eventually[15,∞]globally(IL1Ra(t) < c(low))",0.73276013,"eventually[1,7]globally(IL1β(t) < c(mid)) and eventually[8,14]globally(IL1Ra(t) > c(mid)) and eventually[15,∞]globally(IL1β(t) < c(low)) and eventually[15,∞]globally(IL1Ra(t) < c(low))",0.73276013,0,0,2
"eventually[1,7]globally(d_IL1β(t) > d_c(low)) and eventually[8,14]globally(d_IL1β(t) > d_c(high)) and eventually[8,14]globally(d_IL1β(t) < d_c(low) and d_IL1Ra(t) < d_c(low))",0.69367236,"eventually[1,7]globally(d_IL1β(t) > d_c(low)) and eventually[8,14]globally(d_IL1β(t) > d_c(high)) and eventually[8,14]globally(d_IL1β(t) < d_c(low) and d_IL1Ra(t) < d_c(low))",0.69367236,"eventually[1,7](IL1β(t) < c(high)) and eventually[8,14](IL1β(t) > c(high)) and eventually[15,∞](IL1β(t) < c(low)) and eventually[1,7](IL1Ra(t) < c(high)) and eventually[8,14](IL1Ra(t) > c(high)) and eventually[15,∞](IL1Ra(t) < c(low))",0.7203779,1,0,1
"d_IL1β(t) < d_c(high) and d_IL1Ra(t) < d_c(high) and eventually[1,7](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and d_IL1β(t) > d_c(high) and d_IL1Ra(t) > d_c(high)",0.6478286,"d_IL1β(t) < d_c(high) and d_IL1Ra(t) < d_c(high) and eventually[1,7](IL1β(t) = c(high) and IL1Ra(t) = c(high)) and d_IL1β(t) > d_c(high) and d_IL1Ra(t) > d_c(high)",0.6478286,"IL1β(t) < c(high) and IL1Ra(t) < c(high) and d_IL1β(t) > d_c(high) and d_IL1Ra(t) > d_c(high) and d_IL1β(t) < d_c(high) and d_IL1Ra(t) < d_c(high) and globally[1,7](IL1β(t) < c(high)) and globally[8,14](IL1β(t) < c(high)) and globally[1,7](IL1Ra(t) < c(high)) and globally[8,14](IL1Ra(t) < c(high)) and eventually[15,∞](IL1β(t) < c(high)) and eventually[15,∞](IL1Ra(t) < c(high))",0.6739638,1,0,1
"eventually[1,7]globally(d_IL1β(t) < d_c(high) and d_IL1Ra(t) < d_c(high)) and eventually[8,14]globally(IL1β(t) = c(high) and IL1Ra(t) = c(high)) and IL1β(t) > c(low) and IL1Ra(t) > c(low)",0.7182053,"eventually[1,7]globally(d_IL1β(t) < d_c(high) and d_IL1Ra(t) < d_c(high)) and eventually[8,14]globally(IL1β(t) = c(high) and IL1Ra(t) = c(high)) and IL1β(t) > c(low) and IL1Ra(t) > c(low)",0.7182053,"eventually[1,7]globally(d_IL1β(t) < d_c(high) and d_IL1Ra(t) < d_c(high)) and eventually[8,14]globally(IL1β(t) = c(high) and IL1Ra(t) = c(high)) and IL1β(t) > c(low) and IL1Ra(t) > c(low)",0.7182053,0,0,2
"eventually[1,7]globally(IL1Ra(t) > c(low)) and eventually[8,14]globally(IL1β(t) > c(high)) and eventually[15,∞]globally(IL1β(t) > c(low)) and eventually[15,∞]globally(IL1Ra(t) > c(low)) and eventually[8,14]globally(IL1Ra(t) > c(high))",0.691555,"eventually[1,7]globally(IL1Ra(t) > c(low)) and eventually[8,14]globally(IL1β(t) > c(high)) and eventually[15,∞]globally(IL1β(t) > c(low)) and eventually[15,∞]globally(IL1Ra(t) > c(low)) and eventually[8,14]globally(IL1Ra(t) > c(high))",0.691555,"eventually[1,7]globally(IL1Ra(t) > c(low)) and eventually[8,14]globally(IL1β(t) > c(high)) and eventually[15,∞]globally(IL1β(t) > c(low)) and eventually[15,∞]globally(IL1Ra(t) > c(low)) and eventually[8,14]globally(IL1Ra(t) > c(high))",0.691555,0,0,2
