Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[0,inf](d_IL12(t) > d_c(high)) and IL8(t) = c(mid)",0.9002164,d_IL12(t) > 0 implies IL8(t) = c(mid),1.0,N/A,N/A,1,1,0
d_IL12(t) > 0 implies IL8(t) = c(mid),1.0,d_IL12(t) > 0 implies IL8(t) = c(mid),1.0,N/A,N/A,0,1,1
d_IL12(t) > d_c(high) implies IL8(t) = c(mid),0.9674672,d_IL12(t) > 0 and IL8(t) = c(mid),0.96827877,N/A,N/A,1,1,0
d_IL12(t) > d_c(high) implies IL8(t) = c(mid),0.9674672,d_IL12(t) > 0 implies IL8(t) = c(mid),1.0,d_IL12(t) > d_c(high) implies IL8(t) = c(mid),0.9674672,1,0,1
d_IL12(t) > d_c(high) implies IL8(t) = c(mid),0.9674672,d_IL12(t) > 0 implies IL8(t) = c(mid),1.0,N/A,N/A,1,1,0
d_IL12(t) > d_c(high) implies IL8(t) = c(mid),0.9674672,d_IL12(t) > 0 implies IL8(t) = c(mid),1.0,d_IL12(t) > 0 implies IL8(t) = c(mid),1.0,2,0,0
d_IL12(t) > d_c(low) implies IL8(t) = c(mid),0.9657477,N/A,N/A,N/A,N/A,0,2,0
d_IL12(t) > 0 implies IL8(t) = c(mid),1.0,N/A,N/A,"eventually[inf,inf]globally(d_IL12(t) > d_c(high)) and IL8(t) = c(mid)",0.861924,0,2,0
d_IL12(t) > d_c(low) and IL8(t) = c(mid),0.9293759,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
d_IL12(t) > d_c(high) implies IL8(t) = c(mid),0.9674672,N/A,N/A,N/A,N/A,0,2,0
d_IL12(t) > 0 implies IL8(t) = c(mid),1.0,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[inf,inf](d_IL12(t) > 0 implies IL8(t)=c(mid))",0.8957242,d_IL12(t) > 0 implies IL8(t) = c(mid),1.0,N/A,N/A,1,1,0
d_IL12(t) > d_c(low) implies IL8(t) = c(mid),0.9657477,N/A,N/A,N/A,N/A,0,2,0
d_IL12(t) > 0 implies IL8(t) = c(mid),1.0,d_IL12(t) > 0 implies IL8(t) = c(mid),1.0,N/A,N/A,0,1,1
d_IL12(t) > 0 implies IL8(t) = c(mid),1.0,N/A,N/A,d_IL12(t) > d_c(high) implies IL8(t) = c(mid),0.9674672,0,2,0
