Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"eventually[0,4]globally(IL1Ra(t) > c(high))",0.5770308,"eventually[0,28]globally(IL1Ra(t) > c(high))",0.5717585,"eventually[0,28]globally(IL1Ra(t) > c(high)) and globally[0,28](IL1Ra(t) = c(high))",0.5768326,0,2,0
"IL1Ra(t) > c(high) and eventually[0,28](IL1Ra(t) > c(high))",0.64421904,"eventually[0,4](d_IL1Ra(t)=d_c(high)) and IL1Ra(t) > c(high)",0.59309256,"eventually[4,4](IL1Ra(t) > c(high) and IL1Ra(t) = c(high))",0.6488192,1,1,0
IL1Ra(t) > c(high),0.58223546,"IL1Ra(t) > c(high) and globally[0,28](IL1Ra(t) > c(high))",0.61414474,N/A,N/A,1,1,0
"IL1Ra(t) = c(high) and eventually[0,28]globally(IL1Ra(t) > c(high))",0.64440584,"eventually[0,28]globally(IL1Ra(t) > c(high))",0.5717585,"globally[0,28](IL1Ra(t) = c(high))",0.538893,0,2,0
IL1Ra(t) = c(high),0.5674138,"globally[0,4](IL1Ra(t) > c(high))",0.5579517,"eventually[0,28](IL1Ra(t) > c(high))",0.59060454,1,1,0
"globally[0,4](IL1Ra(t) > c(high))",0.5579517,"globally[0,4](IL1Ra(t) > c(high))",0.5579517,"globally[0,4](IL1Ra(t) > c(high))",0.5579517,0,0,2
"eventually[0,4](IL1Ra(t) > c(high))",0.59884673,"eventually[0,28]globally(IL1Ra(t) = c(high))",0.5585215,"eventually[0,4](IL1Ra(t) > c(high))",0.59884673,0,1,1
"globally[0,28](IL1Ra(t) > c(high)) and globally[0,28](IL1Ra(t) > c(high))",0.54664946,"globally[0,28](IL1Ra(t) > c(high))",0.55167055,"globally[0,inf](IL1Ra(t) > c(high)) and eventually[0,inf](IL1Ra(t) = c(high))",0.5424976,1,1,0
"globally[0,28](IL1Ra(t) > c(high))",0.55167055,"eventually[0,28]globally(IL1Ra(t)=c(high))",0.5585215,"eventually[0,28]globally(IL1Ra(t) > c(high))",0.5717585,2,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"IL1Ra(t) > c(mid) and IL1Ra(t) > c(high) and IL1Ra(t) > c(mid) and IL1Ra(t) > c(high) and eventually[0,4](IL1Ra(t) > c(high))",0.66015756,"globally[0,28](IL1Ra(t) > c(high))",0.55167055,"IL1Ra(t) > c(high) and globally[0,4](IL1Ra(t) = c(high))",0.61362684,0,2,0
"IL1Ra(t) = c(high) and eventually[0,4](IL1Ra(t) > c(high))",0.6468607,"globally[0,28](IL1Ra(t) > c(high))",0.55167055,"IL1Ra(t) > c(high) and eventually[0,28]globally(IL1Ra(t) = c(high))",0.63727766,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[0,28]globally(IL1Ra(t)=c(high))",0.5585215,"globally[0,28](IL1Ra(t) = c(high))",0.538893,"eventually[0,inf]globally(IL1Ra(t) > c(mid))",0.57183313,1,1,0
"globally[0,28](IL1Ra(t) = c(high))",0.538893,"eventually[0,28]globally(IL1Ra(t) = c(high))",0.5585215,IL1Ra(t) = c(high),0.5674138,2,0,0
"eventually[0,4](IL1Ra(t) > c(high))",0.59884673,"eventually[0,28]globally(IL1Ra(t) > c(high)) implies globally[0,28](IL1Ra(t) = c(high))",0.51108474,"globally[0,28](IL1Ra(t) > c(high))",0.55167055,0,2,0
"globally[0,4](IL1Ra(t) = c(high)) and globally[0,inf](IL1Ra(t) > c(high))",0.53933036,N/A,N/A,"globally[0,4](IL1Ra(t) > c(high))",0.5579517,1,1,0
"eventually[0,4](IL1Ra(t) > c(high)) and IL1Ra(t) > c(high)",0.62524796,"eventually[0,4]globally(IL1Ra(t) > c(high))",0.5770308,"IL1Ra(t) > c(high) and eventually[0,inf]globally(IL1Ra(t) > c(high))",0.61276746,0,2,0
