Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"eventually[14,∞]globally(IL12(t) = c(low))",0.7313173,"eventually[14,∞]globally(IL12(t)=c(high))",0.7581854,"eventually[14,∞]globally(IL12(t)=c(high))",0.7581854,2,0,0
"eventually[14,∞](IL12(t) > c(low))",0.7531866,"eventually[14,∞](IL12(t) > c(low))",0.7531866,"eventually[14,∞](IL12(t) = c(high))",0.7609356,1,0,1
"eventually[14,∞]globally(IL12(t) > c(high)) implies globally[14,∞](d_IL12(t) > 0)",0.6564057,"IL12(t) > c(high) and eventually[14, ∞]globally(IL12(t) = c(high))",0.7668236,"IL12(t) > c(high) and eventually[14, ∞]globally(IL12(t) = c(high))",0.7668236,2,0,0
"eventually[14,∞]globally(IL12(t)=c(high))",0.7581854,"eventually[14,∞]globally(IL12(t) > c(high))",0.7672795,"eventually[14,∞]globally(IL12(t) > c(high))",0.7672795,2,0,0
"eventually[14,∞](IL12(t) > c(high))",0.7756728,"eventually[14,∞](IL12(t) > c(high))",0.7756728,"eventually[14,∞](IL12(t) > c(high))",0.7756728,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
"eventually[14,∞](IL12(t) > c(high))",0.7756728,"eventually[14,∞](IL12(t) > c(high))",0.7756728,"eventually[14,∞](IL12(t) > c(high))",0.7756728,0,0,2
IL12(t) = c(mid),0.6954911,IL12(t) = c(high),0.7085985,"eventually[14,∞]globally(IL12(t) = c(high))",0.7581854,2,0,0
"eventually[14,∞](IL12(t) > c(high))",0.7756728,"eventually[14,∞](IL12(t) > c(high))",0.7756728,"eventually[14,∞](IL12(t) > c(high))",0.7756728,0,0,2
"eventually[14,∞](IL12(t)=c(high)) and TNFα(t) < c(high)",0.7180847,"eventually[14,∞](IL12(t) > c(mid))",0.78902733,"eventually[14,∞](IL12(t) > c(mid))",0.78902733,2,0,0
IL12(t) > c(high),0.714465,"eventually[14,∞]globally(IL12(t) > c(high)) and globally[14,∞](IL12(t) > c(high))",0.7248837,"eventually[14,∞]globally(IL12(t) > c(high)) and globally[14,∞](IL12(t) > c(high))",0.7248837,2,0,0
"eventually[14,∞]globally(d_IL12(t) = 0) and IL12(t) < c(mid)",0.72794306,"eventually[14,∞]globally(d_IL12(t) = 0) and IL12(t) < c(mid)",0.72794306,"eventually[14,∞]globally(d_IL12(t) = 0) and IL12(t) < c(mid)",0.72794306,0,0,2
"IL12(t) = c(high) and d_IL12(t) > 0 and globally[14,∞](IL12(t) > c(high))",0.7453265,"IL12(t) = c(high) and d_IL12(t) > 0 and globally[14,∞](IL12(t) > c(high))",0.7453265,"IL12(t) = c(high) and d_IL12(t) > 0 and globally[14,∞](IL12(t) > c(high))",0.7453265,0,0,2
"IL12(t) = c(mid) and eventually[14,∞]globally(IL12(t) = c(mid))",0.75054157,"IL12(t) = c(mid) and eventually[14,∞]globally(IL12(t) = c(mid))",0.75054157,"eventually[14,∞]globally(IL12(t) > c(high))",0.7672795,1,0,1
"eventually[14,∞](IL12(t) > c(mid))",0.78902733,"eventually[14,∞](IL12(t) > c(mid))",0.78902733,"eventually[14,∞](IL12(t) > c(mid))",0.78902733,0,0,2
"globally[14,∞](IL12(t) > c(high))",0.75895846,"eventually[14,∞]globally(IL12(t) > c(high))",0.7672795,"eventually[14,∞]globally(IL12(t) > c(high))",0.7672795,2,0,0
IL12(t) > c(high),0.714465,IL12(t) > c(high),0.714465,IL12(t) > c(high),0.714465,0,0,2
"eventually[14,∞](IL12(t) > c(high))",0.7756728,"eventually[14,∞](IL12(t) > c(high))",0.7756728,"eventually[14,∞](IL12(t) > c(high))",0.7756728,0,0,2
"eventually[14,∞]globally(IL12(t) > c(high))",0.7672795,"eventually[14,∞]globally(IL12(t) > c(high))",0.7672795,"eventually[14,∞]globally(IL12(t) > c(high))",0.7672795,0,0,2
