Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[1,7](IFNβ(t) = c(mid)) and eventually[8,14]globally(IFNβ(t) > c(high)) and eventually[15,∞]globally(IFNβ(t) > c(high)) and globally[1,7](IFNβ(t) = c(mid))",0.29982978,"globally[1,7](IFNβ(t) = c(mid)) and eventually[8,14]globally(IFNβ(t) > c(high)) and eventually[15,∞]globally(IFNβ(t) > c(high)) and globally[1,7](IFNβ(t) = c(mid))",0.29982978,"globally[1,7](IFNβ(t) = c(mid)) and eventually[8,14]globally(IFNβ(t) > c(high)) and eventually[15,∞]globally(IFNβ(t) > c(high)) and globally[1,7](IFNβ(t) = c(mid))",0.29982978,0,0,2
"eventually[1,7](IFNβ(t)=c(mid)) and globally[8,14](IFNβ(t) > c(mid)) and globally[15,∞](IFNβ(t) > c(low)) and eventually[8,14](IFNβ(t) > c(mid)) and globally[15,∞](IFNβ(t) > c(low)) and eventually[1,7](IFNβ(t) = c(mid))",0.29982978,"eventually[1,7](IFNβ(t)=c(mid)) and globally[8,14](IFNβ(t) > c(mid)) and globally[15,∞](IFNβ(t) > c(low)) and eventually[8,14](IFNβ(t) > c(mid)) and globally[15,∞](IFNβ(t) > c(low)) and eventually[1,7](IFNβ(t) = c(mid))",0.29982978,"eventually[1,7](IFNβ(t)=c(mid)) and globally[8,14](IFNβ(t) > c(mid)) and globally[15,∞](IFNβ(t) > c(low)) and eventually[8,14](IFNβ(t) > c(mid)) and globally[15,∞](IFNβ(t) > c(low)) and eventually[1,7](IFNβ(t) = c(mid))",0.29982978,0,0,2
"eventually[1,7]globally(IFNβ(t) = c(mid)) and eventually[8,14]globally(IFNβ(t) > c(high) and d_IFNβ(t)=d_c(high)) and eventually[15,∞]globally(IFNβ(t) > c(high) and d_IFNβ(t)=d_c(high))",0.29982978,"eventually[1,7]globally(IFNβ(t) = c(mid)) and eventually[8,14]globally(IFNβ(t) > c(high) and d_IFNβ(t)=d_c(high)) and eventually[15,∞]globally(IFNβ(t) > c(high) and d_IFNβ(t)=d_c(high))",0.29982978,"eventually[1,7]globally(IFNβ(t) = c(mid)) and eventually[8,14]globally(IFNβ(t) > c(high) and d_IFNβ(t)=d_c(high)) and eventually[15,∞]globally(IFNβ(t) > c(high) and d_IFNβ(t)=d_c(high))",0.29982978,0,0,2
"eventually[1,7]globally(IFNβ(t) = c(mid)) and eventually[8,14]globally(IFNβ(t) > c(high)) and eventually[15,∞]globally(IFNβ(t) > c(high))",0.29982978,"eventually[1,7]globally(IFNβ(t) = c(mid)) and eventually[8,14]globally(IFNβ(t) > c(high)) and eventually[15,∞]globally(IFNβ(t) > c(high))",0.29982978,"eventually[1,7]globally(IFNβ(t) = c(mid)) and eventually[8,14]globally(IFNβ(t) > c(high)) and eventually[15,∞]globally(IFNβ(t) > c(high))",0.29982978,0,0,2
"globally[1,7](IFNβ(t) = c(low)) and globally[8,14](IFNβ(t) > c(low))",0.29982978,"globally[1,7](IFNβ(t) = c(low)) and globally[8,14](IFNβ(t) > c(low))",0.29982978,"globally[1,7](IFNβ(t) = c(low)) and globally[8,14](IFNβ(t) > c(low))",0.29982978,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[1,7]globally(IL1β(t) = c(mid)) implies eventually[8,14]globally(IL1β(t) > c(mid)) and eventually[15,∞]globally(IL1β(t) > c(mid))",0.29982978,"eventually[1,7]globally(IL1β(t) = c(mid)) implies eventually[8,14]globally(IL1β(t) > c(mid)) and eventually[15,∞]globally(IL1β(t) > c(mid))",0.29982978,"eventually[1,7]globally(IL1β(t) = c(mid)) implies eventually[8,14]globally(IL1β(t) > c(mid)) and eventually[15,∞]globally(IL1β(t) > c(mid))",0.29982978,0,0,2
