Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
N/A,N/A,N/A,N/A,0,0,0
"eventually[0,7]globally(IL6(t) > c(high) and d_IL6(t) < d_c(high))",0.7253518,"eventually[0,7]globally(IL6(t) > c(high) and d_IL6(t) < d_c(high))",0.7253518,0,0,1
"eventually[0,7](IL6(t)=c(high)) and eventually[7,∞](d_IL6(t) < d_c(low))",0.7253518,"eventually[0,7](IL6(t)=c(high)) and eventually[7,∞](d_IL6(t) < d_c(low))",0.7253518,0,0,1
"eventually[1,7](IL6(t) > c(high) and d_IL6(t) < d_c(low))",0.7253518,"eventually[1,7](IL6(t) > c(high) and d_IL6(t) < d_c(low))",0.7253518,0,0,1
"eventually[1,7]globally(IL6(t) > c(high)) implies globally[1,∞](IL6(t) < c(high))",0.7253518,"eventually[1,7]globally(IL6(t) > c(high)) implies globally[1,∞](IL6(t) < c(high))",0.7253518,0,0,1
"eventually[0,∞]globally(IL6(t) > c(mid) and IL6(t) < c(high)) and eventually[0,∞]globally(IL6(t) < c(high) and d_IL6(t) < d_c(high))",0.7253518,"eventually[0,∞]globally(IL6(t) > c(mid) and IL6(t) < c(high)) and eventually[0,∞]globally(IL6(t) < c(high) and d_IL6(t) < d_c(high))",0.7253518,0,0,1
"globally[0,7](IL6(t) > c(high)) and eventually[7,∞](IL6(t) < c(high))",0.7253518,"globally[0,7](IL6(t) > c(high)) and eventually[7,∞](IL6(t) < c(high))",0.7253518,0,0,1
N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,0,0,0
"eventually[1,∞]globally(IL6(t) > c(mid) and IL6(t) < c(low))",0.7253518,"eventually[1,∞]globally(IL6(t) > c(mid) and IL6(t) < c(low))",0.7253518,0,0,1
"eventually[0,7]globally(IL6(t) = c(mid) and IL6(t) > c(low)) and eventually[0,7](d_IL6(t) < d_c(high))",0.7253518,"eventually[0,7]globally(IL6(t) = c(mid) and IL6(t) > c(low)) and eventually[0,7](d_IL6(t) < d_c(high))",0.7253518,0,0,1
"globally[0,7](IL6(t)=c(mid)) and globally[7,∞](IL6(t) < c(low))",0.7253518,"globally[0,7](IL6(t)=c(mid)) and globally[7,∞](IL6(t) < c(low))",0.7253518,0,0,1
N/A,N/A,N/A,N/A,0,0,0
"eventually[0,7]globally(IL6(t) > c(high)) implies globally[0,7](IL6(t) < c(mid))",0.7253518,"eventually[0,7]globally(IL6(t) > c(high)) implies globally[0,7](IL6(t) < c(mid))",0.7253518,0,0,1
"globally[7,∞](IL6(t) = c(high) implies d_IL6(t) < d_c(high))",0.7253518,"globally[7,∞](IL6(t) = c(high) implies d_IL6(t) < d_c(high))",0.7253518,0,0,1
N/A,N/A,N/A,N/A,0,0,0
"globally[0,7](IL6(t) = c(high)) implies globally[7,∞](IL6(t) < c(high))",0.7253518,"globally[0,7](IL6(t) = c(high)) implies globally[7,∞](IL6(t) < c(high))",0.7253518,0,0,1
