,id,input statement,reference STL,reference literal,STL-0,Literal-0,STL-1,Literal-1,STL-2,Literal-2
0,1,"In the mild and moderate groups, IL-6 concentrations were at their highest level in the first week after the symptom onset and then exhibited a decreasing trend.","G[6,7] ( l(t) > c(high) ) ^ G[7,T] ( d_I(t) < 0 )","From day 6 to 7, the concentration of IL-6 was always greater than its high levels, and from day 7 onwards, the concentration of IL-6 was always decreasing. ","G[4,8] (IL6(t) > c(high)) ^ G[8,T] (d_IL6(t) < 0)","from day 4 to 8 the concentration of IL-6 was always above its high levels , and from day 8 onward the rate of change of the concentration of IL-6 was always decreasing","G[4,8] (IL6(t) > c(high)) ^ G[8,T] (d_IL6(t) < 0)","from day 4 to 8 the concentration of IL-6 was always above its high levels , and from day 8 onward the rate of change of the concentration of IL-6 was always decreasing","G[4,8] (IL6(t) > c(high)) ^ G[8,T] (d_IL6(t) < 0)","from day 4 to 8 the concentration of IL-6 was always above its high levels , and from day 8 onward the rate of change of the concentration of IL-6 was always decreasing"
1,2,"In the mild and moderate groups, IL-6 concentrations were at their highest level in the first week after the symptom onset and then exhibited a decreasing trend.","G[6,7] ( l(t) > l(T) ) ^ G[7,T] ( I(t) < c(high) )","From day 6 to 7, the concentration of IL-6 was always greater than its final level, and from day 7 onwards, the concentration of IL-6 was always less than its low levels.","G[4,8] (IL6(t) > c(high)) ^ G[8,T] (d_IL6(t) < 0)","from day 4 to 8 the concentration of IL-6 was always above its high levels , and from day 8 onward the rate of change of the concentration of IL-6 was always decreasing","G[4,8] (IL6(t) > c(high)) ^ G[8,T] (d_IL6(t) < 0)","from day 4 to 8 the concentration of IL-6 was always above its high levels , and from day 8 onward the rate of change of the concentration of IL-6 was always decreasing","G[4,8] (IL6(t) > c(high)) ^ G[8,T] (d_IL6(t) < 0)","from day 4 to 8 the concentration of IL-6 was always above its high levels , and from day 8 onward the rate of change of the concentration of IL-6 was always decreasing"
2,3,"In the mild and moderate groups, IL-6 concentrations were at their highest level in the first week after the symptom onset and then exhibited a decreasing trend.","G[6,7] ( l(t) > c(high) ) ^ F[7,T] G ( I(t) < c(low) )","From day 6 to 7, the concentration of IL-6 was always greater than its high levels, and eventually from day 7 onwards, the concentration of IL-6 was always less than its low levels.","G[4,8] (IL6(t) > c(high)) ^ G[8,T] (d_IL6(t) < 0)","from day 4 to 8 the concentration of IL-6 was always above its high levels , and from day 8 onward the rate of change of the concentration of IL-6 was always decreasing","G[4,8] (IL6(t) > c(high)) ^ G[8,T] (d_IL6(t) < 0)","from day 4 to 8 the concentration of IL-6 was always above its high levels , and from day 8 onward the rate of change of the concentration of IL-6 was always decreasing","G[4,8] (IL6(t) > c(high)) ^ G[8,T] (d_IL6(t) < 0)","from day 4 to 8 the concentration of IL-6 was always above its high levels , and from day 8 onward the rate of change of the concentration of IL-6 was always decreasing"
3,4,"Remarkably, in the mild group, the amount of these cytokines (IL-1β and IL-1Ra) increased at the day 1–7, reached a peak at the day 8–14, and diminished after >14 days.","G[1,7] ( b(t) > b(T) ) ^ F[8,14] ( b(t) > c(high) ) ^ G[15,T] ( b(t) <= c(mid) )","From day 1 to 7, the concentration of IL-1β was always greater than its final level, and between day 8 and 14, the concentration of IL-1β was eventually greater than its high levels, and from day 15 onwards, the concentration of IL-1β was always less than or equal to its moderate levels.",STL could not be parsed,Literal could not be generated,STL could not be parsed,Literal could not be generated,STL could not be parsed,Literal could not be generated
4,5,"Remarkably, in the mild group, the amount of these cytokines (IL-1β and IL-1Ra) increased at the day 1–7, reached a peak at the day 8–14, and diminished after >14 days.","G[1,7] ( d_b(t) > 0 ^ d_r(t) > 0) ^ F[8, 14] ( b(t) > c(high) ^ r(t) > c(high) ) ^ F[15,T] ( b(t) < c(low) ^ r(t) < c(low) )","From day 1 to 7, the concentration of IL-1β was always increasing and the concentration of IL-Ra was always increasing, and between day 8 and 14, the concentration of IL-1β was eventually greater than its high levels and the concentration of IL-Ra was eventually greater than its high levels, and from day 15 onwards, the concentration of IL-1β was eventually less than its low levels and the concentration of IL-Ra was eventually less than its low levels.","G[4,8] (IL1beta(t) > c(high)) ^ G[14,T] (d_IL1beta(t) < 0)","from day 4 to 8 the concentration of IL1beta was always above its high levels , and from day 14 onward the rate of change of the concentration of IL1beta was always decreasing","G[1,7] (IL1beta(t) > c(high)) ^ G[8,14] (d_IL1beta(t) < 0)","from day 1 to 7 the concentration of IL1beta was always above its high levels , and from day 8 to 14 the rate of change of the concentration of IL1beta was always decreasing","G[1,7] (IL1beta(t) > c(high)) ^ G[8,14] (d_IL1beta(t) < 0)","from day 1 to 7 the concentration of IL1beta was always above its high levels , and from day 8 to 14 the rate of change of the concentration of IL1beta was always decreasing"
5,6,"TNF-α levels elevated at the day 1–7 and 8–14 times intervals, then decreased at the day>14.","G[1,7] ( a(t) > c(mid) ) ^ G[8,14] (a(t) > c(mid) ) ^ G[15,T] ( a(t) < c(mid) )","From day 1 to 7, the concentration of TNF-α was always greater than its moderate levels, and from day 8 to 14, the concentration of TNF-α was always greater than its moderate levels, and from day 15 onwards, the concentration of TNF-α was always less than its moderate levels.","G[0,14] (TNF(t) > c(high)) ^ G[14,T] (d_TNF(t) < 0)","from day 0 to 14 the concentration of TNF was always above its high levels , and from day 14 onward the rate of change of the concentration of TNF was always decreasing","G[0,14] (TNF(t) > c(high)) ^ G[14,T] (d_TNF(t) < 0)","from day 0 to 14 the concentration of TNF was always above its high levels , and from day 14 onward the rate of change of the concentration of TNF was always decreasing","G[0,14] (TNF(t) > c(high)) ^ G[14,T] (d_TNF(t) < 0)","from day 0 to 14 the concentration of TNF was always above its high levels , and from day 14 onward the rate of change of the concentration of TNF was always decreasing"
6,7,"TNF-α levels elevated at the day 1–7 and 8–14 times intervals, then decreased at the day>14.","G[1,14] ( a(t) < c(mid) ) ^ G[15, T] ( d_a(t) < 0 )","From day 1 to 14, the concentration of TNF-α was always less than its moderate levels, and from day 15 onwards, the concentration of TNF-α was always decreasing.","G[4,8] (IL6(t) > c(high)) ^ G[8,T] (d_IL6(t) < 0)","from day 4 to 8 the concentration of IL-6 was always above its high levels , and from day 8 onward the rate of change of the concentration of IL-6 was always decreasing","abs(TNF(t) - c(low)) < e → F[0,2]G( IL12(t) > IL12(0) )",if the concentration of TNF was within e units of its low levels then from day 0 to 2 eventually the concentration of IL-12 was always above the concentration of IL-12 at day 0,"abs(TNF(t) - c(low)) < e → F[0,2]G( IL12(t) > IL12(0) )",if the concentration of TNF was within e units of its low levels then from day 0 to 2 eventually the concentration of IL-12 was always above the concentration of IL-12 at day 0
7,8,"TNF-α levels elevated at the day 1–7 and 8–14 times intervals, then decreased at the day>14.","G[1,14] ( a(t) < c(mid) ) ^ F[15,T] ( a(t) < c(low) )","From day 1 to 14, the concentration of TNF-α was always less than its moderate levels, and from day 15 onwards, the concentration of TNF-α was eventually less than its low levels.","G[0,2] (TNF(t) > c(low)) ^ G[8,T] (d_TNF(t) < 0)","from day 0 to 2 the concentration of TNF was always above its low levels , and from day 8 onward the rate of change of the concentration of TNF was always decreasing","G[0,2] (TNF(t) > c(low)) ^ G[8,T] (d_TNF(t) < 0)","from day 0 to 2 the concentration of TNF was always above its low levels , and from day 8 onward the rate of change of the concentration of TNF was always decreasing","G[1,7] (TNF(t) > c(high)) ^ G[8,14] (TNF(t) > c(high)) ^ d_TNF(t) < 0","from day 1 to 7 the concentration of TNF was always above its high levels , and from day 8 to 14 the concentration of TNF was always above its high levels , and the rate of change of the concentration of TNF was decreasing"
8,9,We detected that IL-8 was significantly elevated in all COVID-19 subgroups at three studied time intervals compared to the control group.,"G[1,7] ( I(t) > c(high) ) ^ G[8,14] ( l(t) > c(high) ) ^ G[15, T] ( l(t) > c(high) )","From day 1 to 7, the concentration of IL-8 was always greater than its high levels, and from day 8 to 14, the concentration of IL-8 was always greater than its high levels, and from day 15 onwards, the concentration of IL-8 was always greater than its high levels.","G[4,8] (IL8(t) > c(high)) ^ G[8,T] (d_IL8(t) < 0)","from day 4 to 8 the concentration of IL-8 was always above its high levels , and from day 8 onward the rate of change of the concentration of IL-8 was always decreasing","abs(IL8(t) - c(high)) < e → G[4,3] (IL8(t) > c(low))",if the concentration of IL-8 was within e units of its high levels then from day 4 to 3 the concentration of IL-8 was always above its low levels,"abs(IL8(t) - c(high)) < e → G[4,3] (IL8(t) > c(low))",if the concentration of IL-8 was within e units of its high levels then from day 4 to 3 the concentration of IL-8 was always above its low levels
9,10,We detected that IL-8 was significantly elevated in all COVID-19 subgroups at three studied time intervals compared to the control group.,"G[0,T] ( l(t) > c(high) )","From day 0 onwards, the concentration of IL-8 was always greater than its high levels.","G[0,3] (IL8(t) > c(high)) ^ G[3,T] (d_IL8(t) < 0)","from day 0 to 3 the concentration of IL-8 was always above its high levels , and from day 3 onward the rate of change of the concentration of IL-8 was always decreasing","G[0,3] (IL8(t) > c(high)) ^ G[3,T] (d_IL8(t) < 0)","from day 0 to 3 the concentration of IL-8 was always above its high levels , and from day 3 onward the rate of change of the concentration of IL-8 was always decreasing","G[0,3] (IL8(t) > c(high)) ^ G[3,T] (d_IL8(t) < 0)","from day 0 to 3 the concentration of IL-8 was always above its high levels , and from day 3 onward the rate of change of the concentration of IL-8 was always decreasing"
10,11,"We found that although there was no difference in the production of IFN-β in all patients with COVID-19 compared to the control group at the day 1–7, IFN-β levels were higher in moderate, severe, and critical subjects at the day 8–14 or >14 compared to the healthy control and themselves at the day 1–7.","G[8,T] ( b(t) > c(mid) ) ^ G[1,7] ( b(t) < c(mid) )","From day 8 onwards, the concentration of IFN-β was always greater than its moderate levels, and from day 1 to 7, the concentration of IFN-β was always less than its moderate levels.","G[4,8] (IFNbeta(t) > c(high)) ^ G[8,T] (d_IFNbeta(t) < 0)","from day 4 to 8 the concentration of IFNbeta was always above its high levels , and from day 8 onward the rate of change of the concentration of IFNbeta was always decreasing","G[8,14] (IFNbeta(t) > c(high)) ^ G[14,T] (d_IFNbeta(t) < 0)","from day 8 to 14 the concentration of IFNbeta was always above its high levels , and from day 14 onward the rate of change of the concentration of IFNbeta was always decreasing","G[8,14] (IFNbeta(t) > c(high)) ^ G[14,T] (d_IFNbeta(t) < 0)","from day 8 to 14 the concentration of IFNbeta was always above its high levels , and from day 14 onward the rate of change of the concentration of IFNbeta was always decreasing"
11,12,"We found that although there was no difference in the production of IFN-β in all patients with COVID-19 compared to the control group at the day 1–7, IFN-β levels were higher in moderate, severe, and critical subjects at the day 8–14 or >14 compared to the healthy control and themselves at the day 1–7.","G[8,14] ( b(t) > b(0) )","From day 8 to 14, the concentration of IFN-β was always greater than its concentration at day 0.","G[0,1] (IFNbeta(t) < c(low)) ^ G[1,T] (d_IFNbeta(t) < 0)","from day 0 to 1 the concentration of IFNbeta was always below its low levels , and from day 1 onward the rate of change of the concentration of IFNbeta was always decreasing","G[0,1] (IFNbeta(t) < c(low)) ^ G[1,T] (d_IFNbeta(t) < 0)","from day 0 to 1 the concentration of IFNbeta was always below its low levels , and from day 1 onward the rate of change of the concentration of IFNbeta was always decreasing","G[0,1] (IFNbeta(t) < c(low)) ^ G[1,T] (d_IFNbeta(t) < 0)","from day 0 to 1 the concentration of IFNbeta was always below its low levels , and from day 1 onward the rate of change of the concentration of IFNbeta was always decreasing"
12,13,IL-12 reached its maximum level at the day>14 in mild patients.,"F[15,T] ( l(t) > c(high) ) ^ G[1,14] ( l(t) < c(high) )","From day 15 onwards, the concentration of IL-12 was eventually greater than its high levels, and from day 1 to 14, the concentration of IL-12 was always less than its high levels.","G[8,14] (IL12(t) > c(high)) ^ G[14,T] (d_IL12(t) < 0)","from day 8 to 14 the concentration of IL-12 was always above its high levels , and from day 14 onward the rate of change of the concentration of IL-12 was always decreasing","G[8,14] (IL12(t) > c(high)) ^ G[14,T] (d_IL12(t) < 0)","from day 8 to 14 the concentration of IL-12 was always above its high levels , and from day 14 onward the rate of change of the concentration of IL-12 was always decreasing","G[8,14] (IL12(t) > c(high)) ^ G[14,T] (d_IL12(t) < 0)","from day 8 to 14 the concentration of IL-12 was always above its high levels , and from day 14 onward the rate of change of the concentration of IL-12 was always decreasing"
