sentence,stl_formula,filtered_label,consolidated_label,changed_from_0_to_1
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).","eventually[0,14](tcells(t) > c(low))",1,1,0
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).","eventually[0,14](sarscov2(t) > c(low))",0,0,0
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,"eventually[17,19](igm(t) > c(low) and igg(t) > c(low))",1,1,0
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,"globally[17,19](igm(t) > c(low) and igg(t) = c(high))",1,0,0
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,"eventually[17,19](igm(t) > c(low) and igg(t) > c(high))",1,0,0
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,"eventually[17,19](igm(t) > c(low) and igg(t) = c(high))",1,0,0
"Following day 10, IL-6 remains increased whereas IFN-α tapered.","eventually[10,inf]globally(il6(t) > c(mid) and d_ifnα(t) < -d_c(low))",1,1,0
"Following day 10, IL-6 remains increased whereas IFN-α tapered.","globally[10,inf](il6(t) > c(mid) and d_ifnα(t) < 0)",1,1,0
"Two days postinfection, permissive Vero cells produced high peak titers of 5 x 10^6 TCID_50s/ml and 1 x 10^7 TCID_50s/ml of MERS- and SARS-CoV, respectively (Fig. 1B, panel i).","sarscov2(t) > c(high) and eventually[2,2](merscov(t) > c(high))",0,0,0
"Two days postinfection, permissive Vero cells produced high peak titers of 5 x 10^6 TCID_50s/ml and 1 x 10^7 TCID_50s/ml of MERS- and SARS-CoV, respectively (Fig. 1B, panel i).",sarscov2(t) > c(high),0,0,0
"Two days postinfection, permissive Vero cells produced high peak titers of 5 x 10^6 TCID_50s/ml and 1 x 10^7 TCID_50s/ml of MERS- and SARS-CoV, respectively (Fig. 1B, panel i).","globally[2,2](merscov(t) > c(high) and sarscov(t) > c(high))",0,0,0
"Two days postinfection, permissive Vero cells produced high peak titers of 5 x 10^6 TCID_50s/ml and 1 x 10^7 TCID_50s/ml of MERS- and SARS-CoV, respectively (Fig. 1B, panel i).","eventually[2,2](merscov(t) > c(high))",0,0,0
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",ifn(t) > c(low),0,1,1
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",ifn(t) < c(mid),0,1,1
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",cpg2216(t) > c(low) and ifn(t) < c(mid),1,0,0
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",cpg2216(t) > c(low),0,1,1
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",cpg2216(t) > c(low) implies ifn(t) > c(low),1,1,0
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",cpg2216(t) < c(mid) and ifn(t) > c(low),1,0,0
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",cpg2216(t) < c(mid),0,1,1
Circulating IL-1α also was not detected (fig. S9F).,il1α(t) < c(low),1,1,0
"Monocyte chemotactic factor chemokine(C-C motif) ligand 2 (CCL2) was increased in the blood of infected patients as well as the transcripts of its receptor CCR2; this was associated with low counts of circulating inflammatory monocytes (Fig. 4I), suggesting a role for the CCL2/CCR2 axis in the monocyte chemo-attraction into the inflamed lungs.",ccl2(t) > c(mid) and ccr2(t) > c(mid) implies monocytes(t) < c(low),1,0,0
