Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improvements (relative to start)
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"globally[3,∞](d_IL8(t) > d_c(high))",0.5023222,"globally[3,∞](d_IL8(t) > d_c(high))",0.5023222,"globally[3,∞](d_IL8(t) > d_c(high))",0.5023222,0
IL8(t) > c(low),0.5179835,"globally[0,3](d_IL8(t) > c(low)) and d_IL8(t) = d_c(low)",0.53180695,IL6(t) < c(low) and IL12(t) < c(low) and IL1β(t) < c(low) and IL1Ra(t) < c(low) and TNFα(t) < c(low) and IL8(t) > c(high) and IFNα(t) < c(high) and IFNβ(t) < c(high) and SARSCoV2(t) = c(low) and IL1RN(t) > c(low),0.61209583,2
N/A,N/A,N/A,N/A,N/A,N/A,0
"globally[1,3](d_IL8(t) > c(low))",0.56693,"globally[0,3](d_IL8(t) > c(high))",0.5693258,"globally[0,3](d_IL8(t) > c(high))",0.5693258,2
N/A,N/A,N/A,N/A,N/A,N/A,0
d_IL8(t) > d_c(low) implies IFNα(t) < c(mid),0.53283775,IL8(t) > c(mid) and d_SARSCoV2(t) > 0 implies IL1Ra(t) < c(low),0.5887389,IL8(t) > c(mid) and d_SARSCoV2(t) > 0 implies IL1Ra(t) < c(low),0.5887389,2
d_IL8(t) = c(low),0.4807279,d_IL8(t) = c(low),0.4807279,"IL6(t) < c(mid) and d_IL6(t) < d_c(low) and globally[15,∞](d_IL1β(t) > d_c(high) implies d_IL1β(t) < 0)",0.5382659,1
"globally[0,∞](d_IL8(t) > d_c(low)) and eventually[7,∞]globally(IL8(t) < c(high))",0.5422087,"globally[0,∞](d_IL8(t) > d_c(low)) and eventually[7,∞]globally(IL8(t) < c(high))",0.5422087,"globally[0,∞](d_IL8(t) > d_c(low)) and eventually[7,∞]globally(IL8(t) < c(high))",0.5422087,0
"globally[3, ∞](d_IL8(t) > d_c(low))",0.49424124,IL6(t) < c(high) implies IL8(t)=c(low),0.54468095,IL8(t) > c(high),0.5479461,2
"globally[1,3](IL6(t) = c(high) implies IL8(t) > c(high))",0.59691966,"globally[1,3](IL6(t) = c(high) implies IL8(t) > c(high))",0.59691966,"globally[1,3](IL6(t) = c(high) implies IL8(t) > c(high))",0.59691966,0
d_IL8(t) > c(high),0.5479461,d_IL8(t) > c(high),0.5479461,d_IL8(t) > c(high),0.5479461,0
"globally[7,∞](d_IL8(t) > c(high) and d_IL1RN(t) < c(low))",0.5760818,"globally[7,∞](d_IL8(t) > c(high) and d_IL1RN(t) < c(low))",0.5760818,"globally[7,∞](d_IL8(t) > c(high) and d_IL1RN(t) < c(low))",0.5760818,0
IL8(t) > c(high),0.5479461,"globally[3, ∞](IL8(t) = c(high))",0.55398154,d_IL8(t) > c(high) implies IL8(t)=c(mid),0.5707112,2
"globally[0,3](IL8(t)=c(mid))",0.54908717,"globally[0,3](IL8(t)=c(mid))",0.54908717,"globally[0,3](IL8(t)=c(mid))",0.54908717,0
d_IL8(t) > c(mid),0.56856847,"globally[1,3](d_IL8(t) > c(high))",0.5912708,"globally[1,3](d_IL8(t) > c(high))",0.5912708,2
IL8(t) > c(mid),0.56856847,IL8(t) > c(mid),0.56856847,IL8(t) > c(mid),0.56856847,0
