Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"eventually[14,inf]globally(IL12(t) = c(high))",0.7581854,"eventually[14,inf](d_IL12(t) = 0)",0.61872715,"eventually[14,inf](IL12(t) = c(high) and d_IL12(t) = 0)",0.707428,0,2,0
"eventually[14,inf](IL12(t) = c(high))",0.7609356,"eventually[0,14](d_IL12(t) > 0) and globally[14,inf](d_IL12(t) = 0)",0.58334833,"eventually[14,inf](IL12(t)=c(high) and d_IL12(t)=0)",0.707428,0,2,0
"eventually[14,inf]globally(IL12(t) = c(high))",0.7581854,"globally[14,inf](IL12(t)=c(high))",0.750351,"eventually[14,inf](IL12(t) = c(high))",0.7609356,1,1,0
"eventually[14,inf](d_IL12(t)=0 and IL12(t)=c(high))",0.69823366,N/A,N/A,"eventually[15,inf]globally(IL12(t) = c(high))",0.7538753,1,1,0
"eventually[15,inf]globally(IL12(t) = c(high))",0.7538753,N/A,N/A,"eventually[14,inf](IL12(t) > IL12(14))",0.70313495,0,2,0
"eventually[14,inf](d_IL12(t) = 0)",0.61872715,"eventually[14,inf](IL12(t) > IL12(14))",0.70313495,"eventually[15,inf](IL12(t)=c(high))",0.7571626,2,0,0
"eventually[14,inf](d_IL12(t) = 0 and IL12(t) = c(high))",0.69823366,"eventually[0,14](d_IL12(t) > 0) and eventually[14,inf](d_IL12(t) = 0)",0.5854547,N/A,N/A,0,2,0
"eventually[14,inf](d_IL12(t) = 0 and IL12(t) = c(high))",0.69823366,"eventually[15,inf](d_IL12(t) = 0)",0.60479975,"eventually[14,inf](IL12(t) = c(high))",0.7609356,1,1,0
"eventually[14,inf]globally(IL12(t) = c(high))",0.7581854,"eventually[14,inf](d_IL12(t) = 0)",0.61872715,"eventually[14,inf]globally(IL12(t)=c(high))",0.7581854,0,1,1
"eventually[0,14](d_IL12(t) > 0) and eventually[15,inf](d_IL12(t) = 0)",0.58463067,"eventually[14,inf]globally(d_IL12(t)=0)",0.6130331,"eventually[0,14](d_IL12(t) > 0) and globally[14,inf](d_IL12(t) = 0)",0.58334833,1,1,0
"globally[14,inf](d_IL12(t) = 0)",0.60474336,"globally[15,inf](d_IL12(t)=0)",0.5893821,"eventually[0,inf](d_IL12(t) = 0 and IL12(t) = c(high))",0.67231935,1,1,0
"eventually[14,inf](IL12(t) = c(high))",0.7609356,"eventually[14,inf]globally(d_IL12(t) = 0 and IL12(t) = c(high))",0.70976186,N/A,N/A,0,2,0
"globally[14,inf](IL12(t)=c(high))",0.750351,"eventually[14,inf](d_IL12(t) = 0)",0.61872715,"eventually[0,14](d_IL12(t) > 0) and globally[14,inf](d_IL12(t) = 0)",0.58334833,0,2,0
"eventually[15,inf](IL12(t) = c(high))",0.7571626,N/A,N/A,"globally[14,inf](d_IL12(t) = 0)",0.60474336,0,2,0
"eventually[14,inf]globally(IL12(t) = c(high))",0.7581854,"eventually[14,inf](d_IL12(t)=0)",0.61872715,N/A,N/A,0,2,0
"eventually[14,inf]globally(IL12(t) = c(high))",0.7581854,"eventually[14,inf](d_IL12(t) = 0)",0.61872715,"eventually[14,inf]globally(d_IL12(t)=0)",0.6130331,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[14,inf](IL12(t) = c(high))",0.7609356,"eventually[15,inf](d_IL12(t) = 0)",0.60479975,"eventually[14,inf](d_IL12(t) = 0 and IL12(t) = c(high))",0.69823366,0,2,0
