Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
IFNα(t) > c(low) and IFNα(t) < c(mid) and IFNβ(t) > c(low) and IFNβ(t) < c(mid),0.40964085,N/A,N/A,0,1,0
CpG2216(t) > c(low) implies IFNα(t) = c(low) and IFNβ(t) = c(low),0.647606,IFNα(t) > c(low) and IFNα(t) < c(mid) and IFNβ(t) > c(low) and IFNβ(t) < c(mid),0.40964085,0,1,0
CpG2216(t) > c(low) implies IFNα(t) > c(low) and IFNβ(t) > c(low),0.63808125,IFNα(t) > c(low) and IFNα(t) < c(mid) and IFNβ(t) > c(low) and IFNβ(t) < c(mid),0.40964085,0,1,0
IFNα(t) > c(low) and IFNα(t) < c(mid) and IFNβ(t) > c(low) and IFNβ(t) < c(mid),0.40964085,IFNα(t) > c(low) and IFNα(t) < c(mid) and IFNβ(t) > c(low) and IFNβ(t) < c(mid),0.40964085,0,0,1
IFNα(t) > c(low) and IFNβ(t) > c(low),0.48232284,IFNα(t) < c(mid) and IFNα(t) > c(low),0.4934541,1,0,0
IFNα(t) > c(low) and IFNα(t) < c(mid) and IFNβ(t) > c(low) and IFNβ(t) < c(mid),0.40964085,N/A,N/A,0,1,0
CpG2216(t) > c(low) and IFNα(t) > c(low) and IFNα(t) < c(mid) and IFNβ(t) > c(low) and IFNβ(t) < c(mid),0.6396581,IFNα(t) > c(low) and IFNβ(t) > c(low),0.48232284,0,1,0
"globally[0,inf](IFNα(t) > c(low) and IFNβ(t) > c(low))",0.36160028,IFNα(t) > c(low) and IFNα(t) < c(mid),0.49393755,1,0,0
IFNα(t) > c(low) and IFNα(t) < c(mid),0.49393755,N/A,N/A,0,1,0
N/A,N/A,N/A,N/A,0,0,0
"globally[0,inf](IFNα(t) > c(low) and IFNβ(t) > c(low))",0.36160028,IFNα(t) > c(low) and IFNα(t) < c(mid) and IFNβ(t) > c(low) and IFNβ(t) < c(mid),0.40964085,1,0,0
"eventually[0,inf](IFNα(t) < c(low))",0.35508,IFNα(t) < c(mid) and IFNα(t) > c(low),0.4934541,1,0,0
"globally[0,inf](IFNα(t) > c(low) and IFNβ(t) > c(low))",0.36160028,IFNα(t) < c(mid) and IFNα(t) > c(low) and IFNβ(t) < c(mid) and IFNβ(t) > c(low),0.41199934,1,0,0
IFNα(t) > c(low) and IFNβ(t) > c(low),0.48232284,IFNα(t) > c(low) and IFNα(t) < c(mid),0.49393755,1,0,0
IFNα(t) > c(low) and IFNβ(t) > c(low),0.48232284,IFNα(t) < c(mid) and IFNα(t) > c(low),0.4934541,1,0,0
"globally[0,inf](IFNα(t) > c(low) and IFNβ(t) > c(low))",0.36160028,N/A,N/A,0,1,0
"globally[0,inf](IFNα(t) > c(low) and IFNα(t) < c(mid))",0.37585735,IFNα(t) > c(low) and IFNα(t) < c(mid),0.49393755,1,0,0
N/A,N/A,N/A,N/A,0,0,0
