input statement,STL,STL-shot0-S0-F0,STL-shot0-S0-F1,STL-shot0-S0-F2,STL-shot0-S1-F0,STL-shot0-S1-F1,STL-shot0-S1-F2,STL-shot0-S2-F0,STL-shot0-S2-F1,STL-shot0-S2-F2,STL-shot1-S0-F0,STL-shot1-S0-F1,STL-shot1-S0-F2,STL-shot1-S1-F0,STL-shot1-S1-F1,STL-shot1-S1-F2,STL-shot1-S2-F0,STL-shot1-S2-F1,STL-shot1-S2-F2,STL-shot2-S0-F0,STL-shot2-S0-F1,STL-shot2-S0-F2,STL-shot2-S1-F0,STL-shot2-S1-F1,STL-shot2-S1-F2,STL-shot2-S2-F0,STL-shot2-S2-F1,STL-shot2-S2-F2,STL-shot3-S0-F0,STL-shot3-S0-F1,STL-shot3-S0-F2,STL-shot3-S1-F0,STL-shot3-S1-F1,STL-shot3-S1-F2,STL-shot3-S2-F0,STL-shot3-S2-F1,STL-shot3-S2-F2,STL-shot4-S0-F0,STL-shot4-S0-F1,STL-shot4-S0-F2,STL-shot4-S1-F0,STL-shot4-S1-F1,STL-shot4-S1-F2,STL-shot4-S2-F0,STL-shot4-S2-F1,STL-shot4-S2-F2,STL-shot5-S0-F0,STL-shot5-S0-F1,STL-shot5-S0-F2,STL-shot5-S1-F0,STL-shot5-S1-F1,STL-shot5-S1-F2,STL-shot5-S2-F0,STL-shot5-S2-F1,STL-shot5-S2-F2,STL-shot6-S0-F0,STL-shot6-S0-F1,STL-shot6-S0-F2,STL-shot6-S1-F0,STL-shot6-S1-F1,STL-shot6-S1-F2,STL-shot6-S2-F0,STL-shot6-S2-F1,STL-shot6-S2-F2,STL-shot7-S0-F0,STL-shot7-S0-F1,STL-shot7-S0-F2,STL-shot7-S1-F0,STL-shot7-S1-F1,STL-shot7-S1-F2,STL-shot7-S2-F0,STL-shot7-S2-F1,STL-shot7-S2-F2,STL-shot8-S0-F0,STL-shot8-S0-F1,STL-shot8-S0-F2,STL-shot8-S1-F0,STL-shot8-S1-F1,STL-shot8-S1-F2,STL-shot8-S2-F0,STL-shot8-S2-F1,STL-shot8-S2-F2,STL-shot9-S0-F0,STL-shot9-S0-F1,STL-shot9-S0-F2,STL-shot9-S1-F0,STL-shot9-S1-F1,STL-shot9-S1-F2,STL-shot9-S2-F0,STL-shot9-S2-F1,STL-shot9-S2-F2,STL-shot10-S0-F0,STL-shot10-S0-F1,STL-shot10-S0-F2,STL-shot10-S1-F0,STL-shot10-S1-F1,STL-shot10-S1-F2,STL-shot10-S2-F0,STL-shot10-S2-F1,STL-shot10-S2-F2,STL-shot11-S0-F0,STL-shot11-S0-F1,STL-shot11-S0-F2,STL-shot11-S1-F0,STL-shot11-S1-F1,STL-shot11-S1-F2,STL-shot11-S2-F0,STL-shot11-S2-F1,STL-shot11-S2-F2,STL-shot12-S0-F0,STL-shot12-S0-F1,STL-shot12-S0-F2,STL-shot12-S1-F0,STL-shot12-S1-F1,STL-shot12-S1-F2,STL-shot12-S2-F0,STL-shot12-S2-F1,STL-shot12-S2-F2,STL-shot13-S0-F0,STL-shot13-S0-F1,STL-shot13-S0-F2,STL-shot13-S1-F0,STL-shot13-S1-F1,STL-shot13-S1-F2,STL-shot13-S2-F0,STL-shot13-S2-F1,STL-shot13-S2-F2,STL-shot14-S0-F0,STL-shot14-S0-F1,STL-shot14-S0-F2,STL-shot14-S1-F0,STL-shot14-S1-F1,STL-shot14-S1-F2,STL-shot14-S2-F0,STL-shot14-S2-F1,STL-shot14-S2-F2,STL-shot15-S0-F0,STL-shot15-S0-F1,STL-shot15-S0-F2,STL-shot15-S1-F0,STL-shot15-S1-F1,STL-shot15-S1-F2,STL-shot15-S2-F0,STL-shot15-S2-F1,STL-shot15-S2-F2,STL-shot16-S0-F0,STL-shot16-S0-F1,STL-shot16-S0-F2,STL-shot16-S1-F0,STL-shot16-S1-F1,STL-shot16-S1-F2,STL-shot16-S2-F0,STL-shot16-S2-F1,STL-shot16-S2-F2,STL-shot17-S0-F0,STL-shot17-S0-F1,STL-shot17-S0-F2,STL-shot17-S1-F0,STL-shot17-S1-F1,STL-shot17-S1-F2,STL-shot17-S2-F0,STL-shot17-S2-F1,STL-shot17-S2-F2
"From day 8 to 18 eventually at every point in that interval the rate of change of IL1RN was close to a fast, increasing rate.","eventually[8,18]globally(d_IL1RN(t)=d_c(high))",STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,
From day 12 onward if IL-1β was above its low levels then eventually at every point in that interval the rate of change of IL1RN was decreasing.,"eventually[12,inf]globally(IL1β(t) > c(low) implies d_IL1RN(t) < 0)",STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,
From day 20 onward at every point in that interval SARS-CoV-2 was above its low levels.,"globally[20,inf](SARSCoV2(t) > c(low))",STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,
If IL-1β was below its low levels then IL-6 was close to its low levels.,IL1β(t) < c(low) implies IL6(t)=c(low),STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,
"If from day 8 to 10 eventually in that interval the rate of change of IFN-α was close to a fast, increasing rate, then from day 0 to 15 at every point in that interval IL-8 was below its moderate levels.","eventually[8,10](d_IFNα(t)=d_c(high)) implies globally[0,15](IL8(t) < c(mid))",STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,
If IFN-β was close to its low levels then IL-6 was below its high levels.,IFNβ(t)=c(low) implies IL6(t) < c(high),STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,
"The rate of change of IL-1Ra was increasing and the rate of change of IL-1Ra was increasing slower than a low rate, and if TNF-α was close to its low levels then IL-6 was above its low levels.",d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t)=c(low) implies IL6(t) > c(low),STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,
From day 17 onward eventually at every point in that interval IL-1Ra was below its high levels.,"eventually[17,inf]globally(IL1Ra(t) < c(high))",STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,
If the rate of change of IFN-α was increasing then IL1RN was below its moderate levels.,d_IFNα(t) > 0 implies IL1RN(t) < c(mid),STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,
From day 5 to 11 eventually at every point in that interval SARS-CoV-2 was below its moderate levels.,"eventually[5,11]globally(SARSCoV2(t) < c(mid))",STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,,STL could not be parsed,STL could not be parsed,STL could not be parsed,,,,,,
