Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improvements (relative to start)
"IL6(t) > c(mid) and globally[0,∞](d_IFNβ(t) = d_c(low) and IL8(t)=c(low)) and d_IFNα(t) < d_c(high) implies SARSCoV2(t) < c(low)",0.517173,"IL6(t) > c(mid) and globally[0,∞](d_IFNβ(t) = d_c(low) and IL8(t)=c(low)) and d_IFNα(t) < d_c(high) implies SARSCoV2(t) < c(low)",0.517173,"IL6(t) > c(mid) and globally[0,∞](d_IFNβ(t) = d_c(low) and IL8(t)=c(low)) and d_IFNα(t) < d_c(high) implies SARSCoV2(t) < c(low)",0.517173,0
"globally[1,18](d_IFNβ(t) > d_c(low)) implies eventually[7,∞](IL8(t)=c(mid))",0.5188973,"globally[1,18](d_IFNβ(t) > d_c(low)) implies eventually[7,∞](IL8(t)=c(mid))",0.5188973,"globally[7,∞](IFNβ(t) > c(low)) and eventually[8,14] globally(d_IFNβ(t) > d_c(low))",0.529215,1
IFNα(t) > c(mid) implies d_IFNβ(t) < d_c(high),0.44092906,IFNβ(t) < c(mid) implies IL1RN(t) < c(mid),0.5388559,IFNβ(t) < c(mid) implies IL1RN(t) < c(mid),0.5388559,2
"IL1Ra(t) > c(low) and eventually[1,7](d_IL1Ra(t) < d_c(high)) and globally[8,∞](IL1Ra(t) > c(mid) implies IL1Ra(t) = c(high))",0.22153246,"eventually[1,∞]globally(IL1Ra(t) = c(mid)) implies globally[1,∞](IL1Ra(t) < c(high))",0.23346269,"eventually[1,∞]globally(IL1Ra(t) = c(mid)) implies globally[1,∞](IL1Ra(t) < c(high))",0.23346269,2
IFNβ(t) > c(low) implies d_TNFα(t) < d_c(high),0.42742103,IFNα(t) = c(low) implies IFNβ(t) > c(mid),0.54627955,IFNα(t) = c(low) implies IFNβ(t) > c(mid),0.54627955,2
IL8(t)=c(low) and SARSCoV2(t) > c(mid),0.27286392,IL8(t)=c(low) and SARSCoV2(t) > c(mid),0.27286392,"IL1β(t) < c(low) and eventually[8,14]globally(d_IFNβ(t) > d_c(high)) and IL1β(t) > c(mid)",0.555567,1
N/A,N/A,N/A,N/A,N/A,N/A,0
IFNα(t) = c(low) implies IFNα(t) < c(high),0.44245487,IFNα(t) = c(low) implies IFNα(t) < c(high),0.44245487,IFNα(t) = c(low) implies IFNα(t) < c(high),0.44245487,0
IL1β(t) < c(low) implies IFNα(t)=c(high),0.5289882,IL1β(t) < c(low) implies IFNα(t)=c(high),0.5289882,IL1β(t) < c(low) implies IFNα(t)=c(high),0.5289882,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"globally[7,∞](IFNβ(t) < c(mid))",0.5910112,"globally[7,∞](IFNβ(t) < c(mid))",0.5910112,"globally[7,∞](IFNβ(t) < c(mid))",0.5910112,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"eventually[8,∞]globally(d_IFNα(t) > c(low))",0.421667,"eventually[8,∞]globally(d_IFNα(t) > c(low))",0.421667,"globally[1,7](IFNα(t)=c(low))",0.46703744,1
N/A,N/A,N/A,N/A,N/A,N/A,0
"IL1Ra(t) > c(low) and globally[0,∞](d_IL8(t) > 0)",0.22424373,"globally[0,7](IFNα(t) = c(low)) implies eventually[8,∞](IFNα(t) > c(high))",0.39547062,"globally[0,7](IFNα(t) = c(low)) implies eventually[8,∞](IFNα(t) > c(high))",0.39547062,2
"globally[7,∞](IL1β(t) < c(mid)) implies eventually[8,∞]globally(IL1β(t) > c(high))",0.39970362,"IL6(t) > c(mid) and eventually[0,∞]globally(d_IFNβ(t) < d_c(high) and IL8(t)=c(low))",0.52892005,"IL6(t) > c(mid) and eventually[0,∞]globally(d_IFNβ(t) < d_c(high) and IL8(t)=c(low))",0.52892005,2
N/A,N/A,N/A,N/A,N/A,N/A,0
"globally[1,7](IFNβ(t)=c(high) implies IFNα(t) = c(low))
and eventually[8,15]globally(IFNβ(t)=c(high) implies IL1β(t) > c(high))",0.57030624,"globally[1,7](IFNβ(t)=c(high) implies IFNα(t) = c(low))
and eventually[8,15]globally(IFNβ(t)=c(high) implies IL1β(t) > c(high))",0.57030624,"globally[1,7](IFNβ(t)=c(high) implies IFNα(t) = c(low))
and eventually[8,15]globally(IFNβ(t)=c(high) implies IL1β(t) > c(high))",0.57030624,0
