Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improvements (relative to start)
N/A,N/A,N/A,N/A,N/A,N/A,0
"globally[1,∞](d_IL6(t) = d_c(low)) implies globally[1,∞](d_IL6(t) = c(mid))",0.6626332,"eventually[8,18]globally(d_IL6(t)=d_c(high))
and IL6(t)=c(high)",0.73843575,"eventually[8,18]globally(d_IL6(t)=d_c(high))
and IL6(t)=c(high)",0.73843575,2
"globally[0, ∞](IL6(t) > c(high)) implies eventually[0, ∞]globally(d_IL6(t) < 0)",0.67794883,"globally[0, ∞](IL6(t) > c(high)) implies eventually[0, ∞]globally(d_IL6(t) < 0)",0.67794883,"globally[0, ∞](IL6(t) > c(high)) implies eventually[0, ∞]globally(d_IL6(t) < 0)",0.67794883,0
"eventually[1,7]globally(d_IL6(t) < 0)",0.68613577,"eventually[1,7]globally(d_IL6(t) < 0)",0.68613577,"globally[0,1](IL6(t) = c(high)) and eventually[1,∞]globally(IL6(t) < c(high))",0.71873826,1
"globally[1,∞](d_IL6(t) < c(high))",0.6857874,"globally[0,∞](IL6(t) = c(high)) and d_IL6(t) < 0",0.711725,"globally[0,∞](IL6(t) = c(high)) and d_IL6(t) < 0",0.711725,2
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"globally[7,11](TNFα(t) < c(mid))",0.44988742,"globally[7,11](TNFα(t) < c(mid))",0.44988742,"eventually[0,1]globally(IL6(t) = c(high) implies d_IL6(t) < 0)",0.7069143,1
N/A,N/A,N/A,N/A,N/A,N/A,0
IL6(t) = c(high) implies d_IL6(t) < d_c(low),0.6420119,IL6(t) = c(high) implies d_IL6(t) < d_c(low),0.6420119,IL6(t) = c(high) implies d_IL6(t) < d_c(low),0.6420119,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"IL6(t) > c(high) and globally[1,∞](d_IL6(t) < d_c(high))",0.6876921,"IL6(t) > c(high) and globally[1,∞](d_IL6(t) < d_c(high))",0.6876921,d_IL6(t) > 0 and IL6(t) < c(high),0.7118336,1
"eventually[1,7](d_IL6(t) = 0 and d_IL6(t) < 0)",0.6784121,"eventually[1,7](d_IL6(t) = 0 and d_IL6(t) < 0)",0.6784121,"eventually[1,7](d_IL6(t) = 0 and d_IL6(t) < 0)",0.6784121,0
"globally[6,∞](IL1Ra(t)=c(low))",0.5434333,d_IL6(t) < d_c(high) implies IL1Ra(t) < c(mid),0.6239838,d_IL6(t) < d_c(high) implies IL1Ra(t) < c(mid),0.6239838,2
d_IL6(t) > d_c(high) implies IL1β(t) < c(high),0.69460416,d_IL6(t) > d_c(high) implies IL1β(t) < c(high),0.69460416,d_IL6(t) > d_c(high) implies IL1β(t) < c(high),0.69460416,0
"d_IL6(t) = d_c(high) implies IL6(t) > c(high) and eventually[1,∞](d_IL6(t) < 0)",0.66517484,"d_IL6(t) = d_c(high) implies IL6(t) > c(high) and eventually[1,∞](d_IL6(t) < 0)",0.66517484,IL6(t) < c(high) and d_IL6(t) < 0,0.72069025,1
N/A,N/A,N/A,N/A,N/A,N/A,0
IL6(t) = c(high) and d_IL6(t) < d_c(low),0.65925777,IL6(t) = c(high) and d_IL6(t) < d_c(low),0.65925777,IL6(t) > c(mid) implies d_IL6(t) = c(low),0.69419277,1
