Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"globally[0, ∞](IL1β(t)=c(mid) and IL1Ra(t)=c(mid)) implies eventually[1,7]globally(IL1β(t) < c(low)) and eventually[1,7]globally(IL1Ra(t) < c(low)) and eventually[8,14]globally(IL1β(t) > c(high)) and eventually[8,14]globally(IL1Ra(t) > c(high)) and eventually[15, ∞]globally(d_IL1β(t) < 0) and eventually[15, ∞]globally(d_IL1Ra(t) < 0)",0.71073854,"globally[0, ∞](IL1β(t)=c(mid) and IL1Ra(t)=c(mid)) implies eventually[1,7]globally(IL1β(t) < c(low)) and eventually[1,7]globally(IL1Ra(t) < c(low)) and eventually[8,14]globally(IL1β(t) > c(high)) and eventually[8,14]globally(IL1Ra(t) > c(high)) and eventually[15, ∞]globally(d_IL1β(t) < 0) and eventually[15, ∞]globally(d_IL1Ra(t) < 0)",0.71073854,0,0,1
"globally[1, ∞](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and eventually[8, ∞](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",0.6845919,"globally[1, ∞](d_IL1β(t) > 0 and d_IL1Ra(t) > 0) and eventually[8, ∞](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",0.6845919,0,0,1
N/A,N/A,N/A,N/A,0,0,1
IL6(t)=c(low) and IL12(t)=c(low) and TNFα(t)=c(low),0.40018794,IL6(t)=c(low) and IL12(t)=c(low) and TNFα(t)=c(low),0.40018794,0,0,1
"IL1RN(t) < c(low) and eventually[2,15]globally(TNFα(t) > c(low) implies d_TNFα(t)=d_c(high))",0.550897,"IL1RN(t) < c(low) and eventually[2,15]globally(TNFα(t) > c(low) implies d_TNFα(t)=d_c(high))",0.550897,0,0,1
"eventually[1, ∞]globally(IL1Ra(t) > c(high))",0.55797064,"eventually[8,18]globally(d_IL1β(t)=d_c(high) and d_IL1Ra(t)=d_c(high))",0.7138126,1,0,0
d_IL1β(t) < c(low) and d_IL1Ra(t) < c(high),0.5568304,d_IL1β(t) < c(low) and d_IL1Ra(t) < c(high),0.5568304,0,0,1
"d_IL1β(t) < d_c(low) and eventually[0,∞]globally(d_IL1β(t) = d_c(high) and d_IL1Ra(t) > c(low)) and d_IL1Ra(t) > c(low)",0.6267967,"d_IL1β(t) < d_c(low) and eventually[0,∞]globally(d_IL1β(t) = d_c(high) and d_IL1Ra(t) > c(low)) and d_IL1Ra(t) > c(low)",0.6267967,0,0,1
"eventually[8,14]globally(IL1Ra(t) > c(mid))",0.6342895,"eventually[14,∞]globally(d_IL1β(t)=0) and d_IL1Ra(t) < d_c(high)",0.6981009,1,0,0
"globally[1,∞](d_IL1β(t) = d_c(low) and d_IL1Ra(t) = d_c(low))",0.65792406,"globally[1,∞](d_IL1β(t) = d_c(low) and d_IL1Ra(t) = d_c(low))",0.65792406,0,0,1
"globally[0,7](d_IL1β(t) > 0) implies globally[8,∞](d_IL1β(t) < 0)",0.670164,"globally[0,7](d_IL1β(t) > 0) implies globally[8,∞](d_IL1β(t) < 0)",0.670164,0,0,1
"eventually[1,7]globally(IL1β(t)=c(mid) and IL1Ra(t)=c(mid)) implies globally[8,14](IL1β(t) < c(high) and IL1Ra(t) < c(high)) and globally[15,∞](IL1β(t) < c(high) and IL1Ra(t) < c(high))",0.7267607,"eventually[1,7]globally(IL1β(t)=c(mid) and IL1Ra(t)=c(mid)) implies globally[8,14](IL1β(t) < c(high) and IL1Ra(t) < c(high)) and globally[15,∞](IL1β(t) < c(high) and IL1Ra(t) < c(high))",0.7267607,0,0,1
"globally[1,14](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",0.73222,"globally[1,14](d_IL1β(t) < 0 and d_IL1Ra(t) < 0)",0.73222,0,0,1
"eventually[1,∞]globally(IL1β(t) < c(low) implies d_IL1β(t) < 0) and IL1Ra(t) < c(low) implies d_IL1Ra(t) < 0",0.6434053,"eventually[1,∞]globally(IL1β(t) < c(low) implies d_IL1β(t) < 0) and IL1Ra(t) < c(low) implies d_IL1Ra(t) < 0",0.6434053,0,0,1
IL1β(t)=c(low) implies d_IL1β(t) < d_c(high) and IL1Ra(t)=c(low) implies d_IL1Ra(t) < d_c(high),0.480297,IL1β(t)=c(low) implies d_IL1β(t) < d_c(high) and IL1Ra(t)=c(low) implies d_IL1Ra(t) < d_c(high),0.480297,0,0,1
N/A,N/A,N/A,N/A,0,0,1
"globally[1,14](d_IL1β(t) < c(high) and d_IL1Ra(t) < c(high))",0.7440543,"globally[1,14](d_IL1β(t) < c(high) and d_IL1Ra(t) < c(high))",0.7440543,0,0,1
"globally[1,∞](d_IL1β(t)=0 implies d_IL1Ra(t)=0)",0.57885754,"globally[1,∞](d_IL1β(t)=0 implies d_IL1Ra(t)=0)",0.57885754,0,0,1
