Semantic attempt 0,Semantic attempt 0 sim,Number of improvements (relative to start)
N/A,N/A,0
N/A,N/A,0
"eventually[1,∞]globally(d_TNFα(t) > c(high)) and globally[15,∞](d_TNFα(t) < d_c(low))",0.76423943,0
"eventually[14,∞]globally(d_TNFα(t) < d_c(low)) and d_TNFα(t) > c(mid)",0.8214437,0
"globally[1,14](d_TNFα(t) < d_c(high)) and globally[15,∞](d_TNFα(t) > d_c(low))",0.71195793,0
"globally[1,∞](TNFα(t) > c(low)) and eventually[15,∞]globally(TNFα(t) < c(mid))",0.8548151,0
TNFα(t) > c(high) and d_TNFα(t) < c(high),0.8113532,0
"globally[1,7](d_TNFα(t)=c(high)) implies globally[8,∞](d_TNFα(t)=c(low))",0.7910934,0
"eventually[1,7]globally(d_TNFα(t) > d_c(low) implies d_TNFα(t)=d_c(high)) and eventually[8,∞]globally(d_TNFα(t) < d_c(low) implies d_TNFα(t)=d_c(high))",0.66157645,0
"eventually[1,7]globally(d_TNFα(t) > c(high)) and eventually[8,14]globally(d_TNFα(t) = c(high)) implies eventually[15,∞]globally(d_TNFα(t) < c(low))",0.8622668,0
"globally[1,∞](d_TNFα(t) < c(low))",0.8402825,0
N/A,N/A,0
"globally[1,7](TNFα(t) < c(mid)) and eventually[7,∞](TNFα(t)=c(low))",0.86041814,0
"eventually[1,14]globally(d_TNFα(t) > d_c(low)) and d_TNFα(t) < d_c(high)",0.6987184,0
"globally[8,∞](d_TNFα(t) < d_c(high))",0.71640444,0
"globally[0,∞](TNFα(t) < c(high)) implies eventually[14,∞](TNFα(t) > c(low))",0.80248356,0
"globally[0,∞](TNFα(t) > c(high)) implies eventually[1,∞]globally(TNFα(t) < c(low))",0.7641933,0
N/A,N/A,0
