Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"eventually[6,inf](IL1Ra(t) > c(low)) and d_IL8(t) = c(mid)",0.5752927,"globally[0,inf](IL1Ra(t) > c(high)) implies eventually[1,inf](IFNα(t) > c(high))",0.5106149,N/A,N/A,0,2,0
d_IL1Ra(t) > c(high) and d_IL1Ra(t) = c(high),0.5853264,N/A,N/A,N/A,N/A,0,2,0
d_IL1Ra(t) = d_c(high) and IL1Ra(t) > c(high),0.5763571,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
d_IL1Ra(t) > c(high) implies IL1Ra(t)=c(mid),0.58597356,N/A,N/A,"eventually[6,inf](d_IL1β(t)=d_c(high) and IL8(t) < c(low))",0.600441,1,1,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
d_IL1Ra(t)=d_c(high) and IL1Ra(t) > c(high),0.5763571,IL8(t) > c(high) and d_IFNα(t) < 0,0.47590068,N/A,N/A,0,2,0
IL1Ra(t) > c(high),0.58223546,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[19,inf](IL1Ra(t)=c(mid))
",0.51097393,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[11,16](IFNα(t) > c(mid) implies d_SARSCoV2(t)=0)",0.24890575,d_IL1Ra(t) > c(high),0.58223546,"globally[0,4](IL1Ra(t)=c(high)) and eventually[0,4](SARSCoV2(t)=c(high))",0.4792091,2,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
d_IL1Ra(t) = d_c(high),0.5167562,N/A,N/A,N/A,N/A,0,2,0
"eventually[8,15]globally(IL1Ra(t) > c(mid))",0.62596464,"globally[1,7](IL1Ra(t) < c(high))",0.58914137,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
