Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improvements (relative to start)
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"eventually[6,14](d_IL1β(t) > 0 and d_IL1Ra(t) < 0)",0.76991343,"eventually[6,14](d_IL1β(t) > 0 and d_IL1Ra(t) < 0)",0.76991343,"eventually[6,14](d_IL1β(t) > 0 and d_IL1Ra(t) < 0)",0.76991343,0
d_IL1β(t) = d_c(high) and d_IL1Ra(t) = d_c(high),0.59717107,d_IL1β(t) = d_c(high) and d_IL1Ra(t) = d_c(high),0.59717107,"globally[0,∞](d_IL1β(t) < c(high) implies d_IL1Ra(t) > d_c(low)) and d_IL1Ra(t) < 0",0.6421977,1
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"eventually[1,7]globally(d_IL1β(t)=d_c(low)) and eventually[8,14](d_IL1β(t)>d_c(high)) and eventually[15,∞]globally(d_IL1β(t)=d_c(low)) and eventually[1,7]globally(d_IL1Ra(t)=d_c(low)) and eventually[8,14](d_IL1Ra(t)>d_c(high)) and eventually[15,∞]globally(d_IL1Ra(t)=d_c(low))",0.6565277,"globally[6,∞](d_IL1β(t) < 0)",0.72443676,"globally[6,∞](d_IL1β(t) < 0)",0.72443676,2
N/A,N/A,N/A,N/A,N/A,N/A,0
"d_IL1β(t)=d_c(low) and d_IL1Ra(t)=d_c(low) and globally[7, ∞](d_IL1β(t) < 0)",0.66082966,"d_IL1β(t)=d_c(low) and d_IL1Ra(t)=d_c(low) and globally[7, ∞](d_IL1β(t) < 0)",0.66082966,"d_IL1β(t)=d_c(low) and d_IL1Ra(t)=d_c(low) and globally[7, ∞](d_IL1β(t) < 0)",0.66082966,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"globally[1,14](d_IL1β(t) < d_c(low)) implies eventually[8,∞](d_IL1Ra(t) < d_c(low))",0.6597919,"globally[1,14](d_IL1β(t) < d_c(low)) implies eventually[8,∞](d_IL1Ra(t) < d_c(low))",0.6597919,"globally[1,14](d_IL1β(t) < d_c(low)) implies eventually[8,∞](d_IL1Ra(t) < d_c(low))",0.6597919,0
N/A,N/A,N/A,N/A,N/A,N/A,0
