Semantic attempt 0,Semantic attempt 0 sim,Number of improvements (relative to start)
IL8(t)=c(high),0.522193,0
"globally[0,3](d_IL8(t) > d_c(high))",0.4893958,0
d_IL8(t) > c(high),0.54794604,0
"globally[0,3](IL6(t) > c(high)) and eventually[0,∞]globally(IL6(t) > c(high))",0.4832133,0
N/A,N/A,0
"globally[0,3](d_IL8(t) > d_c(low))",0.47980666,0
N/A,N/A,0
"globally[1,3](d_IL8(t) > d_c(high))",0.5040507,0
"globally[0,3](d_IL8(t) > d_c(high))",0.4893958,0
N/A,N/A,0
"globally[20,∞](IL8(t) > c(low))",0.5652133,0
"globally[7,16](IL8(t)=c(mid))",0.5585736,0
IL8(t) < c(high) implies d_IL8(t) < d_c(high),0.51036435,0
"globally[∞,∞](d_IFNα(t) > 0)",0.179201,0
d_IL8(t) > d_c(high),0.48273322,0
IL8(t)=c(low) implies IL1β(t) < c(low),0.6355598,0
"eventually[14,∞]globally(d_IL8(t) > d_c(low))",0.50489455,0
"globally[0,∞](IL8(t) > c(low))",0.53072387,0
