Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"globally[0,3](d_IL8(t) > d_c(high))",0.46267855,"globally[0,3](d_IL8(t) > d_c(high))",0.46267855,0,0,1
"globally[1,3](d_IL8(t) > c(high))",0.46267855,"globally[1,3](d_IL8(t) > c(high))",0.46267855,0,0,1
IL8(t) = c(high),0.46267855,IL8(t) = c(high),0.46267855,0,0,1
"globally[7,∞](IL8(t) < c(high)) and globally[7,∞](IL8(t) > c(low))",0.46267855,"globally[7,∞](IL8(t) < c(high)) and globally[7,∞](IL8(t) > c(low))",0.46267855,0,0,1
"globally[0,∞](d_IL8(t) > c(low)) and d_IL8(t)=0",0.46267855,"globally[0,∞](d_IL8(t) > c(low)) and d_IL8(t)=0",0.46267855,0,0,1
"globally[3,∞](IL8(t)=c(high))",0.46267855,"globally[3,∞](IL8(t)=c(high))",0.46267855,0,0,1
IL8(t)=c(low) and d_SARSCoV2(t) > d_c(high),0.46267855,IL8(t)=c(low) and d_SARSCoV2(t) > d_c(high),0.46267855,0,0,1
"globally[0,3](IL8(t) > c(high))",0.46267855,"globally[0,3](IL8(t) > c(high))",0.46267855,0,0,1
N/A,N/A,N/A,N/A,0,0,0
"d_IL8(t) > d_c(low) and globally[14,∞](d_IL8(t)=0)",0.46267855,"d_IL8(t) > d_c(low) and globally[14,∞](d_IL8(t)=0)",0.46267855,0,0,1
IL8(t) > c(low),0.46267855,IL8(t) > c(low),0.46267855,0,0,1
"eventually[3,∞]globally(IL8(t) > c(high))",0.46267855,"eventually[3,∞]globally(IL8(t) > c(high))",0.46267855,0,0,1
"eventually[1,3]globally(IL8(t) = c(mid))",0.46267855,"eventually[1,3]globally(IL8(t) = c(mid))",0.46267855,0,0,1
IL6(t)=c(high) implies IL12(t) > c(high),0.46267855,IL6(t)=c(high) implies IL12(t) > c(high),0.46267855,0,0,1
"globally[0,∞](IL8(t)=c(high))",0.46267855,"globally[0,∞](IL8(t)=c(high))",0.46267855,0,0,1
IL8(t) > c(high),0.46267855,IL8(t) > c(high),0.46267855,0,0,1
"globally[0,3](d_IL8(t) > d_c(high))",0.46267855,"globally[0,3](d_IL8(t) > d_c(high))",0.46267855,0,0,1
"eventually[3,∞]globally(d_IL8(t) > c(high))",0.46267855,"eventually[3,∞]globally(d_IL8(t) > c(high))",0.46267855,0,0,1
