Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
IL1Ra(t)=c(low) and IL1Ra(t) < c(high),0.22595401,N/A,N/A,N/A,N/A,0,2,0
"eventually[16,inf]globally(d_MCP1(t)=c(mid))",0.5468725,N/A,N/A,"eventually[1,2](d_MCP1(t)=c(high)) implies globally[0,4](MCP1(t) > c(low))",0.5637809,1,1,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
SARSCoV2(t) < c(high) implies d_IL12(t) < d_c(high),0.25210434,N/A,N/A,N/A,N/A,0,2,0
"eventually[1,inf]globally(IL1Ra(t) > c(high)) and MCP1(t) < c(low)",0.601372,N/A,N/A,"globally[20,inf](SARSCoV2(t) > c(low))",0.28308338,0,2,0
"globally[1,2](MCP1(t)=c(high) implies d_MCP1(t)=c(high)) and globally[3,4](MCP1(t) < c(high) implies d_MCP1(t) < d_c(high))",0.5074141,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"d_MCP1(t) > c(high) and eventually[1,2](d_MCP1(t) = d_c(high)) implies globally[3,4](d_MCP1(t) < c(low))",0.58373,N/A,N/A,N/A,N/A,0,2,0
IL1Ra(t) < c(low) implies IL1Ra(t) = c(mid),0.2472946,N/A,N/A,"globally[1,2](d_IL6(t) > c(mid)) and globally[3,4](d_IL12(t) > c(low)) implies globally[1,2](IL6(t) > c(high)) and globally[3,4](IL12(t) > c(high))",0.31421486,1,1,0
SARSCoV2(t) < c(high) implies d_IL12(t) < d_c(high),0.25210434,N/A,N/A,N/A,N/A,0,2,0
d_IL1Ra(t)=d_c(high) and IL1Ra(t) < c(mid) and IFNβ(t) < c(low) implies d_IL1β(t) > d_c(high),0.2811604,N/A,N/A,N/A,N/A,0,2,0
"globally[1,inf](IL1Ra(t)=c(high) and d_IL1Ra(t)=d_c(low)) and IL1Ra(t) > c(mid)",0.31398118,N/A,N/A,"d_IL1RN(t) < d_c(low) implies IL12(t)=c(high) and eventually[10,inf]globally(d_IFNβ(t) > 0)",0.24933776,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
