Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
IL1Ra(t) < c(high) implies IL6(t) < c(high),0.29155874,IL12(t) < c(high) implies d_IL12(t) = d_c(high),0.23287952,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
IL6(t)=c(high) implies IL12(t) > c(high),0.24013773,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[12,13](IL1RN(t)=c(mid) and IL1β(t) > c(low))",0.34758204,N/A,N/A,"globally[2,inf](d_TNFα(t) = c(high) and d_SARSCoV2(t) = c(high)) and eventually[2,inf](d_TNFα(t) < d_c(low) and d_SARSCoV2(t) < d_c(low))",0.50909424,1,1,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"d_MERSCoV(t) = d_c(high) and eventually[2,inf]globally(d_IL6(t) < c(high) and d_SARSCoV(t) > c(low))",0.4744457,"eventually[14,inf]globally(IFNα(t) > c(low)) implies eventually[7,inf]globally(IL8(t) > c(mid))",0.3257082,"d_TNFα(t) < d_c(low) and eventually[6,11](SARSCoV2(t) > c(high) implies TNFα(t) < c(high))",0.50702786,1,1,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[2,inf]globally(d_IL6(t)=d_c(low) and d_IL12(t)=d_c(low)) and IL6(t)=c(mid) and IL1RN(t)=c(high)",0.27122286,N/A,N/A,IL6(t) > c(mid) and IL1β(t) > c(mid),0.30340225,1,1,0
"eventually[2, inf]globally(IL1Ra(t) > c(high) and IL1β(t) < c(low))",0.39830434,N/A,N/A,IL6(t) < c(high) and IL12(t) < c(high),0.24295954,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
d_MERSCoV(t) = c(high) and d_SARSCoV(t) = c(high),0.39706808,IFNβ(t) > c(low) implies d_TNFα(t) > d_c(low),0.2835948,N/A,N/A,0,2,0
"globally[2,inf](IL12(t)=c(high) and IL1β(t)=c(high))",0.37618434,N/A,N/A,"globally[2,inf](d_IL1Ra(t) > d_c(high) implies d_SARSCoV2(t) < d_c(low))",0.40033466,1,1,0
